epoch,train_Loss,val_Loss,train_CE_Loss,val_CE_Loss,train_Aux_Loss,val_Aux_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,Learning_Rate,context_mask_prob,val_MetricScore,val_CheckpointScore
1,0.842637300491333,0.8470346331596375,0.8426355123519897,0.8470328450202942,1.805501597118564e-06,1.8130357375412132e-06,0.76629623486482,0.7552204176334106,0.4870640432695028,0.47744568289983585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2630480167014614,0.1791044776119403,0.25062199369713056,0.26218097447795824,0.7541701277489596,0.7762235519066047,0.44549009125997585,0.42481206927111026,0.001,0.2,0.5604448044173955,0.5086541701549498
2,0.684543788433075,0.6863228678703308,0.6845408082008362,0.686319887638092,2.9647169412783114e-06,2.9736636406596517e-06,0.8122408359595289,0.8039443155452436,0.525817782487164,0.518387314439946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27139874739039666,0.23880597014925373,0.2006966329407862,0.2088167053364269,0.8451020748363015,0.8582130643390103,0.5608478231193851,0.5462543127260598,0.001,0.1925,0.6176429309206911,0.5854691206650532
3,0.5692183375358582,0.5688709020614624,0.5692147612571716,0.5688673257827759,3.598599732868024e-06,3.5987497994938167e-06,0.8367888538729474,0.8410672853828306,0.5469741130619228,0.5511553326928224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302713987473904,0.31343283582089554,0.1715043954221264,0.16937354988399073,0.8827787446838963,0.8856417593058818,0.6386075486347098,0.6354164517526666,0.001,0.185,0.6622713365587257,0.644168511763507
4,0.485745370388031,0.48409947752952576,0.485741525888443,0.48409563302993774,3.858812306134496e-06,3.843387275992427e-06,0.8493945928014596,0.8526682134570766,0.5580226225387516,0.5616450765467887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29227557411273486,0.3283582089552239,0.1574058716205009,0.1554524361948956,0.9012440816614801,0.9006479445681318,0.6731888355159917,0.6734380439456924,0.001,0.17750000000000002,0.6774264309587951,0.6694065967357217
5,0.4266330301761627,0.42452535033226013,0.4266291558742523,0.4245215058326721,3.881485099554993e-06,3.8514040170412045e-06,0.8616686017581688,0.8619489559164734,0.5687921777746975,0.570416033830668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818371607515658,0.29850746268656714,0.14430253773428428,0.14617169373549885,0.913296682558856,0.9120990105743073,0.7030681242474514,0.693091767290927,0.001,0.17,0.6857915304741432,0.6854039871458623
6,0.38679084181785583,0.384962797164917,0.3867870569229126,0.38495907187461853,3.7716022234235425e-06,3.734133770194603e-06,0.8669762813070161,0.8689095127610209,0.5736287046160156,0.5761422496449238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2776617954070981,0.31343283582089554,0.1366727483828164,0.1368909512761021,0.9230306794886133,0.9218967844925077,0.728077325137851,0.7206909819963953,0.001,0.1625,0.6958906741478038,0.7000820823981819
7,0.36309272050857544,0.36219799518585205,0.36308911442756653,0.3621944189071655,3.6127569273958215e-06,3.578013320293394e-06,0.8752695306020899,0.8805104408352669,0.5809359447776972,0.5856485817152609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25260960334029225,0.29850746268656714,0.12721844418643224,0.12296983758700696,0.9304880983777254,0.9290045192965101,0.7518630874167592,0.757170883847276,0.001,0.155,0.7092236365047557,0.7163907831548136
8,0.3522515594959259,0.3528282642364502,0.35224810242652893,0.3528248369693756,3.4676529594435124e-06,3.440934733589529e-06,0.881572400066346,0.882830626450116,0.5864072715374359,0.5875297561228322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24634655532359082,0.2835820895522388,0.12025211477857024,0.11948955916473318,0.936673927744922,0.9349168949302152,0.7685069870734066,0.7685412431930538,0.001,0.1475,0.7119371644806862,0.7203137601666133
9,0.35057440400123596,0.35293176770210266,0.35057103633880615,0.35292840003967285,3.3783271646825597e-06,3.35403728968231e-06,0.8878752695306021,0.8932714617169374,0.591708425745797,0.5960212924105391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24008350730688935,0.26865671641791045,0.11378338032841268,0.10788863109048724,0.9424930594365838,0.9404839761553173,0.7819771751014928,0.7956193813424379,0.001,0.14,0.7229463177389531,0.7315333442824996
10,0.3533690869808197,0.35770031809806824,0.3533657193183899,0.3576969802379608,3.357550667715259e-06,3.3321973660349613e-06,0.8938464090230552,0.8979118329466357,0.5965792111591659,0.5997671325549608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22755741127348644,0.2537313432835821,0.10748051086415658,0.10324825986078887,0.9479316396927063,0.9452318098032446,0.7955672958821726,0.8045799472847669,0.001,0.1325,0.7269349592873322,0.7351142148889623
