row_id,ticker,company_name,rating_date,sector,rating_detail,last_y,pred_label,raw_pred_label,prob_0,prob_1,prob_2
test_001334,BZH,Beazer Homes USA Inc.,2014-07-31,8,0,0,1,1,0.23906848,0.38726768,0.3736639
test_000550,CZR,Caesars Entertainment Resort Properties Finance Inc.,2014-03-05,8,0,0,2,2,0.22964312,0.34413603,0.42622086
test_001616,CZR,CAESARS ENTERTAINMENT,2014-06-05,8,0,0,2,2,0.22886318,0.34366027,0.42747653
test_001561,CZR,CAESARS ENTERTAINMENT,2014-09-08,8,0,0,2,2,0.22879256,0.34371573,0.4274917
test_000841,CCU,"iHeartCommunications, Inc.",2015-02-19,9,0,0,1,1,0.22831574,0.39964753,0.37203676
test_000490,CZR,"Caesars Entertainment Operating Company, Inc.",2014-03-28,8,0,0,2,2,0.22827512,0.3449182,0.4268067
test_001480,CZR,CAESARS ENTERTAINMENT,2015-05-21,8,0,0,2,2,0.2276952,0.36335963,0.40894517
test_000518,KOS,"Kosmos Energy, Ltd.",2016-02-09,5,0,0,2,2,0.22375686,0.33481753,0.44142568
test_001452,BZH,Beazer Homes USA Inc.,2011-05-24,8,0,0,1,1,0.22348583,0.39574343,0.38077083
test_000234,CRC,California Resources Corporation,2016-09-09,5,0,0,1,1,0.22014585,0.5132222,0.266632
test_000971,BZH,"Beazer Homes USA, Inc.",2012-06-15,8,0,0,2,2,0.21857692,0.39051768,0.39090538
test_001375,CCU,"iHeartCommunications, Inc.",2015-02-20,9,0,0,1,1,0.21571626,0.39393285,0.3903509
test_000168,CCU,"iHeartCommunications, Inc.",2013-02-22,9,0,0,2,2,0.21439873,0.3900715,0.39552978
test_001256,BZH,Beazer Homes USA Inc.,2016-03-11,8,0,1,1,1,0.21421917,0.42681825,0.35896263
test_000148,CCU,"iHeartCommunications, Inc.",2013-06-11,9,0,0,2,2,0.21127336,0.39295506,0.39577165
test_001674,CCU,iHeartCommunications Inc.,2016-06-14,9,0,0,2,2,0.20641956,0.38936374,0.40421665
test_001698,THC,Tenet Healthcare Corp.,2012-07-16,7,0,1,2,2,0.20620257,0.38111168,0.41268575
test_001179,BZH,Beazer Homes USA Inc.,2012-06-29,8,0,0,1,1,0.20565715,0.43286878,0.3614741
test_000619,CCU,iHeartCommunications Inc.,2016-03-24,9,0,0,2,2,0.20564681,0.38985786,0.4044954
test_000745,MHO,"M/I Homes, Inc.",2012-09-05,8,0,0,1,1,0.19980155,0.46746692,0.33273152
test_000852,PRAH,"PRA Health Sciences, Inc.",2014-09-19,7,0,0,2,2,0.19753906,0.4002754,0.40218556
test_001116,BLDR,"Builders FirstSource, Inc.",2013-05-13,8,0,0,1,1,0.19624029,0.4924552,0.31130448
test_001617,TDG,TransDigm Inc.,2013-06-28,1,0,1,2,2,0.19348675,0.3591143,0.44739896
test_000024,TDG,TransDigm Inc.,2013-08-23,1,0,1,2,2,0.19004472,0.35925254,0.45070273
test_001377,BZH,Beazer Homes USA Inc.,2013-05-15,8,0,0,1,1,0.18908146,0.5271987,0.28371987
test_000786,BKD,BROOKDALE SENIOR LIVING INC,2015-02-20,7,0,0,2,2,0.18660249,0.36185688,0.45154062
test_000860,BZH,Beazer Homes USA Inc.,2014-06-13,8,0,1,1,1,0.18216024,0.4610716,0.3567682
test_000648,BTU,PEABODY ENERGY CORPORATION,2015-09-03,5,0,0,1,1,0.17769201,0.48912817,0.33317974
test_001666,THC,Tenet Healthcare Corp.,2015-07-08,7,0,1,1,1,0.17577702,0.46112242,0.36310056
test_001293,BZH,"Beazer Homes USA, Inc.",2012-09-06,8,0,1,1,1,0.17526153,0.48187432,0.34286413
test_001127,EME,Edison Mission Energy,2012-08-10,9,0,0,2,2,0.17479421,0.41005066,0.41515514
test_000612,GLPG,Galapagos Holding S.A.,2014-10-01,7,0,0,1,1,0.17311639,0.42476502,0.4021186
test_000276,HUBG,Hub International Limited,2013-09-10,8,0,0,2,2,0.17041114,0.3431569,0.48643205
test_001689,HOV,"Hovnanian Enterprises, Inc.",2013-08-01,8,0,0,1,1,0.17001832,0.48692226,0.34305948
test_000442,KODK,Eastman Kodak Co.,2012-01-19,10,0,0,1,1,0.16680384,0.46834308,0.36485314
test_000315,KODK,Eastman Kodak Co.,2011-02-28,10,0,0,1,1,0.16640933,0.48165497,0.3519357
test_001631,BCC,Boise Cascade Company,2012-06-15,4,0,0,1,1,0.16503692,0.45906267,0.37590048
test_001604,BTE,Baytex Energy Corp,2016-02-03,5,0,1,1,1,0.15890038,0.45242321,0.38867643
test_000034,AMD,"Advanced Micro Devices, Inc.",2015-04-21,10,0,1,1,1,0.1575515,0.5292504,0.31319812
test_000747,THC,Tenet Healthcare Corp.,2014-03-05,7,0,1,1,1,0.15680027,0.5056767,0.337523
test_000811,TECK,Teck Resources Limited,2016-05-23,8,0,1,1,1,0.15520294,0.5154872,0.32930985
test_001606,NRP,Natural Resource Partners LP,2016-06-01,5,0,1,1,1,0.15311679,0.44130927,0.4055739
test_000414,CIEN,Ciena Corp.,2011-01-21,10,0,0,1,1,0.15279771,0.5307599,0.31644246
test_000110,GBX,Greenbrier Companies Inc. (The),2012-01-10,1,0,0,2,2,0.15145461,0.3827412,0.46580407
test_000322,GBX,Greenbrier Companies Inc. (The),2011-08-01,1,0,0,2,2,0.14999004,0.36435917,0.48565084
test_001317,NAV,Navistar International Corporation,2013-12-16,1,0,0,1,1,0.14763696,0.50110567,0.35125735
test_000185,WLL,Whiting Petroleum Corporation,2016-07-28,5,0,0,1,1,0.13916956,0.5023826,0.35844788
test_000211,UNIT,Uniti Group Inc.,2016-12-12,4,0,0,2,2,0.1388664,0.3714012,0.4897324
test_000309,SPWR,SUNPOWER CORPORATION,2013-09-23,10,0,0,1,1,0.1353776,0.47281873,0.39180362
