epoch,train_Loss,val_Loss,train_CE_Loss,val_CE_Loss,train_Aux_Loss,val_Aux_Loss,train_Accuracy,val_Accuracy,train_Macro_F1,val_Macro_F1,train_Class0_Precision,val_Class0_Precision,train_Class0_Recall,val_Class0_Recall,train_Class0_F1,val_Class0_F1,train_Class0_F2,val_Class0_F2,train_ChgAcc,val_ChgAcc,train_Ordinal_MAE,val_Ordinal_MAE,train_AUC,val_AUC,train_QWK,val_QWK,Learning_Rate,context_mask_prob,val_MetricScore,val_CheckpointScore
1,0.4318031668663025,0.4314068555831909,0.4318021833896637,0.4314058721065521,9.721533160700346e-07,9.756295185070485e-07,0.9205506717531929,0.9222737819025522,0.8297846298075194,0.8385356600694757,0.6334841628959276,0.6285714285714286,0.6763285024154589,0.7333333333333333,0.6542056074766355,0.676923076923077,0.667302192564347,0.7096774193548386,0.0,0.0,0.08011278819041301,0.07888631090487239,0.8995146889908735,0.9139256136197152,0.8686628450344477,0.8710992241173052,0.001,0.2,0.8349061451563148,0.7904347186699775
2,0.3702419698238373,0.36813050508499146,0.3702404201030731,0.3681289553642273,1.5523278307227883e-06,1.5528136145803728e-06,0.9205506717531929,0.9222737819025522,0.828145657622469,0.8352586786769222,0.6415094339622641,0.6363636363636364,0.6570048309178744,0.7,0.649164677804296,0.6666666666666666,0.653846153846154,0.6862745098039216,0.008350730688935281,0.014925373134328358,0.08011278819041301,0.07888631090487239,0.920206227006713,0.9238754805184269,0.8679516579717326,0.8700409218177902,0.001,0.1925,0.832825679373757,0.7972785263890565
3,0.3332515060901642,0.32990384101867676,0.33324959874153137,0.32990193367004395,1.914285803650273e-06,1.9056125211136532e-06,0.9154088571902471,0.9211136890951276,0.7709378598983984,0.8074453010162537,0.6165413533834586,0.7777777777777778,0.3961352657004831,0.4666666666666667,0.4823529411764706,0.5833333333333334,0.4266389177939646,0.5072463768115942,0.05636743215031315,0.1044776119402985,0.08674738762647205,0.08120649651972157,0.9313954788694513,0.9311044982905523,0.8449644395674994,0.8534161833239882,0.001,0.185,0.8133133645094884,0.7928757309454242
4,0.31178420782089233,0.30771195888519287,0.3117820620536804,0.30770981311798096,2.159504902010667e-06,2.1385324089351343e-06,0.9137502073312324,0.9187935034802784,0.72223141133024,0.7497772335445321,0.696969696969697,0.8888888888888888,0.2222222222222222,0.26666666666666666,0.336996336996337,0.41025641025641024,0.25727069351230425,0.31007751937984496,0.11899791231732777,0.16417910447761194,0.08923536241499419,0.08468677494199536,0.9384375629549425,0.9383105718366016,0.8306914055039092,0.8370900217698141,0.001,0.17750000000000002,0.7867996971228576,0.7814588482298067
5,0.30017438530921936,0.29583144187927246,0.3001720607280731,0.2958291471004486,2.3378697733278386e-06,2.3049135506880702e-06,0.905954552993863,0.9118329466357309,0.6349548598630179,0.6508322789230084,0.5882352941176471,0.6666666666666666,0.04830917874396135,0.06666666666666667,0.08928571428571429,0.12121212121212122,0.05917159763313609,0.08130081300813008,0.1440501043841336,0.19402985074626866,0.09653342179465915,0.09396751740139211,0.9435161915656197,0.9437395351713708,0.8132131795252273,0.8068929863863519,0.001,0.17,0.746350141799749,0.7577727074963074
6,0.2948013246059418,0.29055914282798767,0.2947988510131836,0.2905566990375519,2.474770099070156e-06,2.432469500490697e-06,0.9037983081771438,0.9129930394431555,0.6160589781632663,0.6322517774210673,0.5,1.0,0.01932367149758454,0.03333333333333333,0.037209302325581395,0.06451612903225806,0.023923444976076555,0.04132231404958678,0.162839248434238,0.22388059701492538,0.09819207165367391,0.08932714617169374,0.9468597231311225,0.9470341359578972,0.8108050473804504,0.8266420367363356,0.001,0.1625,0.7458772108655707,0.7602067923310414
7,0.2934502065181732,0.28966331481933594,0.2934476137161255,0.289660781621933,2.5949043447326403e-06,2.547915300965542e-06,0.9016420633604246,0.9129930394431555,0.608464851299357,0.6321361682023147,0.4,1.0,0.00966183574879227,0.03333333333333333,0.018867924528301886,0.06451612903225806,0.012004801920768306,0.04132231404958678,0.17118997912317327,0.23880597014925373,0.09985072151268867,0.08932714617169374,0.9495788312433242,0.9495652782220086,0.8094252319895684,0.8264852210995084,0.001,0.155,0.7465883962548877,0.7608801144196328
8,0.2937408685684204,0.2908036708831787,0.29373815655708313,0.2908009886741638,2.718212726904312e-06,2.6718764729594113e-06,0.9013103333886217,0.9106728538283063,0.6082528220020053,0.6305132863245446,0.4,1.0,0.00966183574879227,0.03333333333333333,0.018867924528301886,0.06451612903225806,0.012004801920768306,0.04132231404958678,0.17536534446764093,0.23880597014925373,0.09985072151268867,0.09164733178654293,0.9523309419679277,0.9521218511244727,0.8108037173081916,0.8223615931989612,0.001,0.1475,0.7442994432323767,0.7583888193305242
9,0.29363885521888733,0.291690468788147,0.2936359941959381,0.29168766736984253,2.8568356356117874e-06,2.8147846933279652e-06,0.9026372532758334,0.9095127610208816,0.6093752434005131,0.62970352739938,0.4,1.0,0.00966183574879227,0.03333333333333333,0.018867924528301886,0.06451612903225806,0.012004801920768306,0.04132231404958678,0.17536534446764093,0.23880597014925373,0.09819207165367391,0.09280742459396751,0.954884328116306,0.9539070264245488,0.8153699445141984,0.8203025730622617,0.001,0.14,0.7431555539945291,0.7571057084606201
10,0.2916649580001831,0.2906714975833893,0.29166194796562195,0.2906685173511505,3.0130884169921046e-06,2.9778173029626487e-06,0.9056228230220601,0.9118329466357309,0.6380440858180951,0.6699101025613136,0.7333333333333333,1.0,0.05314009661835749,0.1,0.0990990990990991,0.18181818181818182,0.06524317912218269,0.12195121951219513,0.17745302713987474,0.22388059701492538,0.09504063692154587,0.09048723897911833,0.9571614782294867,0.9561073556675078,0.823253388920512,0.8263804283749263,0.001,0.1325,0.7569126323468187,0.765570905299265
