ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days,is_synthetic
OSK,2012-12-04,-0.07595498664095852,-0.2607582820692554,-1.2573784479269141,-0.5053751237220381,-0.49401483910495103,-0.37659657956598486,-0.2962522790626242,1.4063055299562117,0.0022031315235954796,0.060059569559438045,-1.167513767166758,-0.5162089632972632,Oshkosh Corp.,6,2,2,1,-1.6502967275004745,0
CAH,2013-09-19,-0.49585847200571376,-0.1515759296033408,-1.5602040375499353,-0.78542220507806,-0.7738685086218976,-0.5881224242405347,-0.4996481074224517,3.2156939969211313,-0.17943241773982793,-0.5393253747830813,0.6505490748396155,0.4316416815752634,"CARDINAL HEALTH, INC",1,4,2,2,0.33424043868557296,0
TGT,2015-03-13,-0.5681489440486205,0.04620661390516621,-0.570250255780153,-0.3981932623593861,-0.38690700187003246,-0.2890890215577101,-0.7112547408771775,1.5546361846881351,0.10170698072498822,0.21456166262337215,-1.761511510550191,-1.0852589125972885,Target Corp.,6,4,2,2,-0.12102238239135196,0
SYN_0_0000022,2015-09-10,0.48008205180099583,-0.07983538018210812,-0.00991411794486785,-0.6741846524770834,-0.4822793784063233,-0.6330619281006094,-0.7642493529213823,-0.1230164004310228,-0.2088973033191035,-0.6173022915997644,0.5660540978280988,0.30367344424765763,__SYNTHETIC__,4,6,2,0,0.3094917206181589,1
HAL,2015-11-03,0.7660426555722254,-0.2944075946861208,-1.0767401150637754,0.239226925239388,0.2500729575708539,0.3402462169093616,0.3101710292124941,0.4957272323651732,0.18663827580280826,0.9492018372159655,-0.4777929421342969,-0.3425919778265334,Halliburton Co.,6,5,2,2,-1.2876535285894743,0
PRA,2012-06-15,3.4935177701289044,-0.3931199283595841,2.280770931069346,1.6397800852658033,1.6496588389486513,1.6533443762459983,1.1156009136018281,-0.6812243532510321,0.08961244651403996,0.7595768366613287,0.0883289089560529,0.026241933176206853,ProAssurance Casualty Company,5,6,2,2,0.18296942149362969,0
SYN_1_0000268,2016-12-22,0.24846350953205443,0.1277558823590761,-0.11600273156309138,-0.2271891874137415,-0.2741263993658718,-0.4818999946986562,-0.3880500143602905,-0.10286450327105601,-0.7310623438788859,-0.3834036355276389,-0.2693774327281928,-0.421148339620927,__SYNTHETIC__,3,6,2,1,-0.8452612110908109,1
SYN_0_0000033,2015-04-18,0.35231698351835394,0.051067935992247016,-0.2311921660548324,-0.44852137025342653,-0.3834105555679468,-0.4148615282556509,-0.34632985448256015,-0.4087864423388161,-0.5573439657669379,-0.6761853229016825,0.4361961245274606,0.33673361928820267,__SYNTHETIC__,4,6,2,0,0.5601399075412004,1
SYN_1_0000290,2016-05-07,0.3496383442947013,0.021408092295628123,-0.21577134675644194,-0.3030850366493185,-0.3410166853192118,-0.37151553051604225,-0.2953608311591287,-0.15688481194307813,-0.2466735991322162,-0.3490017475631664,-0.1454546121564939,-0.06047276804702806,__SYNTHETIC__,3,6,2,1,-0.994905329244453,1
ROK,2011-05-20,0.44656271576328427,-0.17224687918882023,-0.14705832777278008,-0.05025308343384721,0.045691100321037015,0.13440211594495882,0.22666663026066533,0.49740235201940924,0.40104374679243543,0.733791820150211,-0.5632128561970728,-0.22440540622485403,Rockwell Automation Inc.,6,1,2,2,0.18296942149362969,0
EL,2016-05-05,0.42529978110933536,0.27124374018739605,1.4940468896955756,0.19908857086003087,0.18179204302612956,0.34938172506368853,0.2691507695626186,0.9447043088901534,0.39471769062417694,1.3288519028149963,1.4899676068816181,1.075380002029392,"Estee Lauder Companies, Inc. (The)",5,3,1,2,1.3305120260470273,0
SYN_0_0000049,2015-12-30,0.2255716340636882,0.14468039305799607,-0.22750314756743228,-0.6164137378238328,-0.45310663696394826,-0.6295274827451411,-0.5082667127115243,-0.4211727526367164,-0.6475850527539988,-0.8794596712051281,0.3102350442754154,0.32792234358777606,__SYNTHETIC__,4,6,2,0,-0.6351986998205177,1
SYN_0_0000103,2016-12-26,0.3804190183966263,0.01052825754809028,-0.19305846190085796,-0.43540023303572717,-0.3340183974665196,-0.36785400206261,-0.37161428056119483,-0.37683252492896857,-0.4487981434251447,-0.5296114504396874,0.587037943815115,0.34452485355935814,__SYNTHETIC__,4,6,2,0,-2.884798777797107,1
IRM,2014-11-25,-0.8338140487118126,1.3162358663215146,0.5602735795650217,0.28327159631067217,0.2940872096111947,-0.27108966822692626,-0.26721024701269985,-0.619885515438237,-0.08906981375046374,-0.5073573538593887,-0.17527859563811177,-0.1280074204491826,"Iron Mountain Information Management, LLC",5,6,2,1,-1.7469695445507232,0
DOV,2016-11-02,0.1194405414763053,-0.06491175318293028,-0.26616496209246227,0.08784641517426471,0.09879699700758612,0.15468182993790974,0.4478077705845898,0.11748196763789719,0.07459063305516331,0.36853498107407845,-0.037085957678616714,-0.031515111791147486,Dover Corporation,5,1,2,2,-0.385945195129562,0
PVH,2015-06-05,0.29530264955478575,-0.02269529125811455,0.3629885804883217,-0.38493217539667873,-0.3736550735502403,-0.30895802292133917,-0.09757224475303101,0.028265241720324775,-0.07421351688880436,-0.08833789243249109,1.379827493227299,1.204177529094514,PVH CORP,1,3,2,1,-0.17967377741737037,0
CDNS,2016-09-23,0.14791912555282502,-0.5168726277569082,1.7151395809547165,0.3221599357981731,0.3329486912388585,0.4295984910890416,0.617080323959875,-0.04091084937930326,0.12171320828292234,0.9607599082104061,-0.16200652319564943,-0.09156734689601782,"Cadence Design Systems, Inc.",6,10,2,2,1.0203370511191086,0
BIIB,2011-12-06,0.7037605351061026,-0.5476311936009847,1.938127387966301,0.9313689133557372,0.9417369244410091,1.0650190126926378,1.071554656228918,-0.3337399604597932,0.07788914238542193,1.0125520899704856,0.9743641895121493,0.6598087340129829,Biogen Inc.,6,7,2,2,1.3543041352694498,0
SYN_1_0000274,2013-04-15,0.35010207576050445,0.01932417280244092,-0.21246995175354066,-0.2877408221600293,-0.33581055114111624,-0.36012666738101107,-0.29343454426090343,-0.1594838473800615,-0.21929747216351458,-0.3492445323080515,-0.15554767741879605,-0.06700671915331924,__SYNTHETIC__,3,6,2,1,-0.09319699578454088,1
KRO,2015-02-24,1.6190245610257095,-0.32847014155644555,-0.9020167387863433,-0.19859467268805345,-0.1874462630561993,-0.07594886887358694,-0.044464408262162,0.47825671020179283,-0.011709720733925427,0.2345388226894186,-0.6411903129408131,-0.2418551394621331,Kronos Worldwide Inc.,6,0,2,1,0.29256802215557287,0
PPG,2015-10-20,-0.3693257229627328,-0.060003477968429884,0.002010690726101107,0.022085333890305415,0.03308133298564264,-0.007241280265103864,0.5723987864935787,0.182793820972394,0.18604950962127825,0.274106085729516,-0.8626123419283358,-0.4645514647227596,"PPG INDUSTRIES, INC",1,0,2,2,0.26650963363939467,0
SYN_0_0000161,2016-11-18,0.3382433618521177,0.07108268057773692,-0.22541067500215584,-0.47024739907164737,-0.4009332034799087,-0.4281843573278259,-0.3618851190838859,-0.4139214048889175,-0.5587947252208512,-0.6953118298863759,0.43208249486965045,0.31645851901925504,__SYNTHETIC__,4,6,2,0,-0.02750031890736505,1
IDA,2013-08-12,-0.720405600770861,0.054184398662988326,1.1776416216176988,0.6843970978883779,0.6949356776965874,0.6463161208814786,0.7016762550348603,-1.2598862614933417,-0.07746237123989778,-0.2149335781562158,-1.1511721467358846,0.09085310759532128,"IDACORP, INC",1,9,2,2,0.6857801321089446,0
NWE,2012-06-15,-1.384332343092887,0.9383793349205344,0.4936414119389541,0.19354278292361815,-0.17890474744285012,-0.0015013150616191052,0.1314824841366043,-0.877659046516946,-0.05726343980139205,-0.2784978498669879,1.6861561109349537,0.24706255894311271,NorthWestern Corporation,5,9,1,2,1.3909927143552445,0
SYN_1_0000268,2016-11-29,0.34757316080720524,0.02521656792513749,-0.21759340855059195,-0.3146654927121091,-0.3438251079111643,-0.3789750524945479,-0.29541918945419443,-0.1549387983919872,-0.27148484260107164,-0.34802726559230557,-0.13804455900555368,-0.05628157907971065,__SYNTHETIC__,3,6,2,1,0.8220780977320532,1
AVY,2015-06-12,-0.34034658156837283,-0.11682665917741929,-0.6798323968672884,-0.34755395290545793,-0.33630266597099207,-0.2236957539312658,-0.24454391043407003,0.9786864086247065,0.07099182932709622,0.10228978559205351,-1.3473180891049905,-0.679230344982474,AVERY DENNISON CORPORATION,1,1,2,2,0.5414142977158269,0
SYN_0_0000093,2013-04-30,0.47189702285567314,-0.07186779504047891,-0.005135819611774561,-0.6853533785831685,-0.4918211846308038,-0.6442763718159519,-0.7779075097720147,-0.1258605099969876,-0.2052476070357594,-0.6273964539017074,0.562324045190917,0.2938467837222736,__SYNTHETIC__,4,6,2,0,0.24866609837080553,1
SYN_1_0000219,2016-06-10,0.34963865079269607,0.021406637383252658,-0.21577111533943638,-0.30308459582495306,-0.3410166853192118,-0.3715163834227404,-0.295361757481273,-0.1568850896474736,-0.24667211876542705,-0.3490021654370823,-0.1454552358589667,-0.06047301313146569,__SYNTHETIC__,3,6,2,1,-0.12102238239135196,1
BRFS,2012-07-19,-0.28582916971416905,-0.2128871396307564,-0.7108122343294893,-0.2909395332871966,-0.2797273465603227,-0.22661401596721265,-0.09887623332582626,0.20805934798444947,-0.06953649075600758,0.035660533429715965,-1.172183592879697,-0.589592165776199,BRF S.A.,2,3,2,2,-0.5355893132832041,0
PPL,2015-10-06,-0.7153961936418036,0.5229763994667859,1.3073871027655968,1.4432973449599833,1.4533117975687588,0.9293997063738374,0.663485121610827,-1.3953459145238347,-0.05252374908488878,-0.2663687675908725,-0.6957958388179187,-0.32558241804028476,PPL CORPORATION,1,9,2,2,-1.0370053416664327,0
SRE,2013-11-20,-0.9721702385308205,0.2387023024098483,0.8029604126391727,0.282286830207316,0.29310312362713203,0.03848722310488162,0.17875641099867345,-1.0948915395388417,-0.10799308985803342,-0.3377557936555039,0.04582537956416092,0.02470132609760023,Sempra Energy,2,9,2,2,-2.884798777797107,0
SYN_0_0000144,2016-12-22,0.12804443193456616,0.22551871946268953,-0.2156514727475045,-0.766933217178229,-0.528303968975055,-0.7818058710144475,-0.6398771734326436,-0.44348262122759863,-0.713118521947484,-0.9943770873272482,0.27436747433431696,0.3015088584948158,__SYNTHETIC__,4,6,2,0,-2.884798777797107,1
SHW,2012-11-13,-0.7199990951800759,-0.14360546491273704,-0.03198113145482793,-0.2092592161859332,-0.19810344118908102,-0.050888071435752864,-0.12441609953958459,1.4456474769931233,0.45812096308140493,0.6064996976701806,-0.1814172359682577,-0.1263096085666365,Sherwin-Williams Co.,6,0,2,2,0.6697385082031435,0
SNY,2012-05-02,-0.12503886960494193,-0.4912868433528411,1.0252255048187835,0.6181459170330248,0.628730252585833,0.39430342144518826,0.766757568673992,-0.8727018434768172,0.035211870054355485,0.5781207013215504,-0.37928711639143764,-0.16542216378677196,Sanofi,6,7,2,2,1.174080636997791,0
BYD,2013-09-12,-1.1903712397933839,0.8917038926779479,0.05537853792737438,-0.12468993923006225,-0.11359257119573259,-0.6859693771117498,-0.5406017524997783,-0.7587047792640205,-0.33037882535635066,-0.7862888126965721,-0.5324966430845405,-0.25383414552231925,BOYD GAMING CORPORATION,1,8,2,0,-0.3477629481227288,0
SYN_0_0000170,2016-08-13,0.470307064508777,-0.07031394862293805,-0.004229012075052996,-0.6874803561432357,-0.49362428476077813,-0.6463885952529251,-0.7804845379763252,-0.12643049826864128,-0.20457167155957912,-0.6293149130476019,0.5616364132149125,0.29194468340209623,__SYNTHETIC__,4,6,2,0,-0.4259907126212609,1
SYN_1_0000269,2016-12-23,0.29937527841614475,0.04826189498978373,-0.18101309104718366,-0.1833641923646958,-0.2567583154038564,-0.294925361964955,-0.26197293896571683,-0.17260649088248803,-0.22962628732866186,-0.314711849808039,-0.2157284171454692,-0.15205077391445743,__SYNTHETIC__,3,6,2,1,-2.884798777797107,1
SYN_1_0000296,2016-12-23,-0.21417889423473419,0.6196746957459716,0.7389893006178726,-0.7960680383492281,-0.784506989450107,-1.064529589202034,-0.8992956898242672,-0.5389814149576558,-1.2589077852365838,-1.2538988419174633,-0.29863057274019444,-0.12989840066228278,__SYNTHETIC__,2,7,2,1,-2.884798777797107,1
NBR,2013-06-26,0.062816360713282,-0.013274989341434161,-0.18606877864724689,-0.24359323514400893,0.0568454486256441,-0.05355445546995556,-0.197559981540321,-0.5752314251603995,-0.16544862979778535,-0.3102406785272766,2.663481313234315,-3.689985309070054,"Nabors Industries, Inc.",2,5,2,2,0.11155306783852041,0
SYN_0_0000060,2016-12-26,0.1380777970362177,0.2142950404236288,-0.21810611292665594,-0.749723433977187,-0.5147255478651358,-0.7681904949449443,-0.626030046864658,-0.4402075144399009,-0.7085687626559967,-0.9816586768361923,0.2780601048231448,0.31020347400294757,__SYNTHETIC__,4,6,2,0,-2.884798777797107,1
LXU,2015-08-13,0.9210262763853739,0.15131712534288747,-1.2237257768403191,-0.4038590221108558,-0.3925688486187027,-0.515805681393805,-0.21050514558488997,-0.6573559587568856,-0.28410038477439975,-0.6804445792198903,-0.7027099392243437,-0.994300213037922,"LSB Industries, Inc.",5,0,2,1,-0.954859811752754,0
KEP,2015-10-30,-1.107649650031327,0.2053611088085401,-1.2365246931384002,-0.0732418923394518,-0.062180056406787906,-0.12341246387445916,-0.1466683358233791,-0.8754633672961656,-0.19128813514621984,-0.4711232812835263,1.388361353631155,0.9409223644175093,Korea Electric Power Corp.,6,9,2,2,0.47571762083865116,0
LDOS,2014-07-02,0.14097583944255945,-0.005873386709062679,-1.221448619492648,-0.6471868387929777,-0.635728613270806,-0.5404536377574474,-0.29866632588752284,1.0519863399897564,-0.1874765243645877,-0.42024339935439586,0.8705689201650515,0.6256009686757583,"Leidos Holdings, Inc.",5,10,2,2,1.1682179670993065,0
SYN_0_0000048,2013-10-17,0.22333266621326398,0.1478331881767332,-0.22674884383744787,-0.6200077788698906,-0.4560035069153594,-0.6316017518340651,-0.5105797391048261,-0.42182258092206104,-0.6482701665042754,-0.8824190542744428,0.3095729841007864,0.3251139210173717,__SYNTHETIC__,4,6,2,0,0.3423269109542846,1
NRG,2012-12-19,-0.3687288372085902,0.25954570736769744,-0.7187903600723939,-0.34460238699895285,-0.33335313853525905,-1.1625631269594903,-0.3573750304251123,-0.9042161351003303,-0.2512642564093092,-0.6332951991098504,-1.2658517361275152,-2.8150148113038567,NRG Energy Inc.,6,9,2,1,0.32607350268500973,0
LEA,2015-02-26,-0.38392970926868003,-0.22256284439501547,-1.4167471621596766,-0.47056230707890345,-0.45922606560076906,-0.33076131346897203,-0.21894193498006836,1.770111851516631,0.23617739334993956,0.4909953027214496,0.7275109112876488,0.4840852041694643,Lear Corp.,6,1,2,1,-0.8452612110908109,0
SYN_0_0000174,2016-03-14,0.13221295790988385,0.2213702793079939,-0.2164964919437118,-0.7596093611817611,-0.5227291581798053,-0.7754478780360836,-0.633612919934567,-0.44200176253888035,-0.7109853134035156,-0.9892748468194354,0.2759245475570782,0.30444178395951926,__SYNTHETIC__,4,6,2,0,-2.1327345624908367,1
SBAC,2013-08-06,-1.6486652885465478,2.1355045399140926,1.0979491894752618,0.23369845752583085,0.24454830804066285,-1.9152695581939274,-1.9643406811685293,-1.433033903218292,-0.9771443870741338,-1.215764807194623,0.14601165656658566,0.10764258065605466,SBA Communications Corp.,6,6,2,1,1.3909927143552445,0
