ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
ACCO,2015-10-30,1.839572193,2.360977288,0.316737288,0.10824947,0.086996822,0.086996822,0.056872352,0.773215931,0.14779766,0.043974608,1.573529412,1.319852941,Acco Brands Corporation,Egan-Jones Ratings Company,Consumer Durables,corporate_rating,1,347.0
HRL,2013-06-18,2.9514,0.0885,0.161816,0.092905,0.097606,0.092135,0.060754,1.8034,0.178752,0.110641,0.0609,-0.0065,HORMEL FOODS CORPORATION,Egan-Jones Ratings Company,Consumer Non-Durables,credit_rating_financial,2,126.0
MHO,2012-06-15,7.3736,1.0881,0.1753,-0.033362,-0.033362,-0.059853,-0.059809,0.8524,-0.191368,-0.050982,0.1975,0.2094,"M/I Homes, Inc.",Moody's Investors Service,Miscellaneous,credit_rating_financial,0,21.0
PXD,2012-06-22,1.5564,0.6156,0.846847,0.441284,0.441284,0.328158,0.248274,0.2461,0.121141,0.052892,6.2901,2.3077,Pioneer Natural Resources Co.,Fitch Ratings,Energy,credit_rating_financial,1,1.0
BAX,2013-11-19,1.7809,0.7608,0.507162,0.212049,0.212049,0.202188,0.160081,0.7284,0.330404,0.118282,-0.1394,-0.1935,BAXTER INTERNATIONAL INC,Egan-Jones Ratings Company,Health Care,credit_rating_financial,2,91.0
NRG,2014-03-28,1.8069,1.5693,0.280213,0.030367,0.030367,-0.056131,-0.034971,0.3332,-0.03363,-0.010383,-0.9784,6.8375,"NRG ENERGY, INC.",Egan-Jones Ratings Company,Public Utilities,credit_rating_financial,1,74.0
AMCR,2013-03-17,2.3717,0.8693,0.185815,0.067262,0.067262,0.052622,0.037525,1.0951,0.090743,0.035574,0.0091,0.0057,Amcor Ltd.,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,2,38.0
NWN,2010-06-16,0.8361,1.1191,0.396503,0.156724,0.156724,0.120264,0.074179,0.4221,0.113803,0.031311,9.0433,3.9589,Northwest Natural Gas Co.,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,2,83.0
SJR,2010-11-16,0.5842,1.4374,1.0,0.295493,0.295493,0.195588,0.143299,0.3661,0.225964,0.061655,0.4769,0.303,Shaw Communications Inc.,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,2,83.0
MHO,2011-09-12,8.3246,0.9116,0.1703,-0.015593,-0.015593,-0.04446,-0.042618,0.9312,-0.126802,-0.039688,-6.1071,-6.4226,"M/I Homes, Inc.",Standard & Poor's Ratings Services,Miscellaneous,credit_rating_financial,0,25.0
MCK,2012-11-29,1.0884,0.5826,0.052338,0.017364,0.017364,0.015476,0.01147,3.5128,0.201874,0.04167,2.8633,2.7529,McKesson Corporation,Moody's Investors Service,Consumer Services,credit_rating_financial,2,167.0
BKD,2015-05-22,0.6072,2.1672,0.423137,-0.022158,-0.022158,-0.086314,-0.038883,0.3678,-0.051844,-0.014344,-1.3229,-1.2937,BROOKDALE SENIOR LIVING INC,Egan-Jones Ratings Company,Health Care,credit_rating_financial,0,91.0
NUE,2015-07-27,3.2701,0.5574,0.074041,0.048747,0.048747,0.041524,0.025515,1.2532,0.074021,0.038513,-0.3956,-1.2207,NUCOR CORPORATION,Egan-Jones Ratings Company,Capital Goods,credit_rating_financial,2,94.0
BCC,2016-11-10,3.0372,0.6445,0.132078,0.0284,0.0284,0.022206,0.014362,2.91,0.097597,0.041792,-0.5376,-1.2538,Boise Cascade Company,Standard & Poor's Ratings Services,Consumer Services,credit_rating_financial,1,85.0
XEL,2012-06-15,0.9542064269999999,1.8362749615,0.7476895,0.1621618405,0.140016266,0.119097766,0.07592046350000001,0.368856054,0.0960960535,0.0279864735,9.321377915,7.036904505,Xcel Energy Inc.,Fitch Ratings,Public Utilities,corporate_rating,2,364.0
AMX,2013-06-26,0.8271,1.3373,0.556887,0.202958,0.202958,0.178719,0.117971,0.7721,0.29501,0.09178,-0.6909,-0.1318,America Movil S.A.B. de C.V.,Fitch Ratings,Public Utilities,credit_rating_financial,2,62.0
MWA,2012-07-16,3.0739,1.7897,0.257205,0.054634,0.054634,-0.013373,-0.039498,0.6496,-0.026385,-0.006734,-0.299,-0.6558,Mueller Water Products Inc.,Standard & Poor's Ratings Services,Capital Goods,credit_rating_financial,1,31.0
EBAY,2014-01-24,1.8422,0.1744,0.819305,0.297202,0.297202,0.311372,0.345888,0.199,0.087411,0.049822,0.8812,1.3222,EBAY INC.,Egan-Jones Ratings Company,Technology,credit_rating_financial,2,99.0
NFG,2012-02-07,0.7593,0.5756,0.64655,0.248005,0.248005,0.237673,0.145264,0.3407,0.136584,0.049492,2.4077,-1.6645,National Fuel Gas Co.,Standard & Poor's Ratings Services,Public Utilities,credit_rating_financial,2,239.0
