rating_detail,real_train_count,synthetic_count,augmented_count,synthetic_share_in_augmented
0,3,188,191,0.9843
1,6,186,192,0.9688
2,13,181,194,0.933
3,6,186,192,0.9688
4,67,147,214,0.6869
5,87,135,222,0.6081
6,177,127,304,0.4178
7,271,26,297,0.0875
8,256,30,286,0.1049
9,270,26,296,0.0878
10,383,0,383,0.0
11,296,20,316,0.0633
12,409,0,409,0.0
13,763,0,763,0.0
14,543,0,543,0.0
15,458,0,458,0.0
16,588,0,588,0.0
17,297,19,316,0.0601
18,154,125,279,0.448
19,110,120,230,0.5217
20,44,162,206,0.7864
21,49,159,208,0.7644
