rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,dmf_dcs,DMF/DCS Fusion,0,Distressed,debt_equity_ratio,0.017845263704657555,-0.003397057531401515,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
2,dmf_dcs,DMF/DCS Fusion,0,Distressed,gross_profit_margin,0.014089978300035,-0.0016921157948672771,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
3,dmf_dcs,DMF/DCS Fusion,0,Distressed,pretax_profit_margin,0.013491317629814148,-0.0016826508799567819,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
4,dmf_dcs,DMF/DCS Fusion,0,Distressed,current_ratio,0.010545782744884491,-0.0029317568987607956,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
5,dmf_dcs,DMF/DCS Fusion,0,Distressed,ebit_margin,0.010194595903158188,-0.0024813928175717592,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
6,dmf_dcs,DMF/DCS Fusion,0,Distressed,asset_turnover,0.008359833620488644,-0.003042239462956786,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
7,dmf_dcs,DMF/DCS Fusion,0,Distressed,net_profit_margin,0.007937663234770298,0.004178887698799372,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
8,dmf_dcs,DMF/DCS Fusion,0,Distressed,free_cashflow_ps,0.007710709702223539,-0.00672557158395648,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
9,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_cashflow_ps,0.007198781240731478,0.0010852335253730416,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
10,dmf_dcs,DMF/DCS Fusion,0,Distressed,roe,0.006608318071812391,0.004773552063852549,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
11,dmf_dcs,DMF/DCS Fusion,0,Distressed,roa,0.0065155490301549435,0.0013957327464595437,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
12,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_profit_margin,0.0050483946688473225,0.001818083692342043,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
1,dmf_dcs,DMF/DCS Fusion,1,HY,pretax_profit_margin,0.21258704364299774,-0.12359108775854111,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
2,dmf_dcs,DMF/DCS Fusion,1,HY,operating_profit_margin,0.16645264625549316,0.10287430137395859,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
3,dmf_dcs,DMF/DCS Fusion,1,HY,ebit_margin,0.09367585927248001,-0.06266035884618759,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
4,dmf_dcs,DMF/DCS Fusion,1,HY,current_ratio,0.09050298482179642,0.0013775993138551712,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
5,dmf_dcs,DMF/DCS Fusion,1,HY,debt_equity_ratio,0.06610383838415146,-0.010373703204095364,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
6,dmf_dcs,DMF/DCS Fusion,1,HY,net_profit_margin,0.04121694713830948,0.009554385207593441,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
7,dmf_dcs,DMF/DCS Fusion,1,HY,operating_cashflow_ps,0.03626874461770058,0.011883617378771305,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
8,dmf_dcs,DMF/DCS Fusion,1,HY,asset_turnover,0.026555044576525688,0.01567155122756958,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
9,dmf_dcs,DMF/DCS Fusion,1,HY,roa,0.024293849244713783,-0.007907280698418617,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
10,dmf_dcs,DMF/DCS Fusion,1,HY,gross_profit_margin,0.021048083901405334,0.005931150633841753,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
11,dmf_dcs,DMF/DCS Fusion,1,HY,free_cashflow_ps,0.017785631120204926,-0.004944670479744673,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
12,dmf_dcs,DMF/DCS Fusion,1,HY,roe,0.013820819556713104,0.003994922619313002,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.045018665390887704,0.8276262333139872
