rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_profit_margin,0.01882953941822052,-0.01748739182949066,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
2,dmf_dcs,DMF/DCS Fusion,0,Distressed,pretax_profit_margin,0.018744878470897675,0.016285434365272522,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
3,dmf_dcs,DMF/DCS Fusion,0,Distressed,roa,0.009388293139636517,-0.008397785015404224,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
4,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_cashflow_ps,0.006598507985472679,-0.004379555583000183,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
5,dmf_dcs,DMF/DCS Fusion,0,Distressed,roe,0.005690595600754023,-0.0003586043603718281,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
6,dmf_dcs,DMF/DCS Fusion,0,Distressed,debt_equity_ratio,0.004442454315721989,-0.0017789580160751939,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
7,dmf_dcs,DMF/DCS Fusion,0,Distressed,ebit_margin,0.004249554593116045,-3.150974634991144e-06,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
8,dmf_dcs,DMF/DCS Fusion,0,Distressed,free_cashflow_ps,0.004232619423419237,0.004232619423419237,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
9,dmf_dcs,DMF/DCS Fusion,0,Distressed,gross_profit_margin,0.00391162047162652,0.0006889723590575159,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
10,dmf_dcs,DMF/DCS Fusion,0,Distressed,net_profit_margin,0.0035820177290588617,0.0015990125248208642,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
11,dmf_dcs,DMF/DCS Fusion,0,Distressed,asset_turnover,0.0033324749674648046,-0.002993616508319974,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
12,dmf_dcs,DMF/DCS Fusion,0,Distressed,current_ratio,0.0019257796229794621,-0.0011062246048823,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
1,dmf_dcs,DMF/DCS Fusion,1,HY,pretax_profit_margin,0.46451160311698914,-0.15784253180027008,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
2,dmf_dcs,DMF/DCS Fusion,1,HY,operating_profit_margin,0.4036811292171478,0.2015337347984314,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
3,dmf_dcs,DMF/DCS Fusion,1,HY,debt_equity_ratio,0.10297933965921402,-0.02324570156633854,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
4,dmf_dcs,DMF/DCS Fusion,1,HY,current_ratio,0.10263273119926453,0.006793198641389608,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
5,dmf_dcs,DMF/DCS Fusion,1,HY,ebit_margin,0.0774821788072586,-0.06349731236696243,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
6,dmf_dcs,DMF/DCS Fusion,1,HY,roe,0.07583815604448318,0.027154460549354553,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
7,dmf_dcs,DMF/DCS Fusion,1,HY,roa,0.06299582868814468,-0.003674092935398221,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
8,dmf_dcs,DMF/DCS Fusion,1,HY,operating_cashflow_ps,0.044312477111816406,0.026373466476798058,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
9,dmf_dcs,DMF/DCS Fusion,1,HY,gross_profit_margin,0.04006461426615715,0.008104688487946987,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.055902206537293185,0.869413813116657
