rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,dmf_dcs,DMF/DCS Fusion,0,Distressed,pretax_profit_margin,0.010370665229856968,0.0021340553648769855,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
2,dmf_dcs,DMF/DCS Fusion,0,Distressed,current_ratio,0.0077199083752930164,-0.0014153317315503955,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
3,dmf_dcs,DMF/DCS Fusion,0,Distressed,debt_equity_ratio,0.005569668021053076,0.0007124696276150644,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
4,dmf_dcs,DMF/DCS Fusion,0,Distressed,roa,0.00540578318759799,0.0014769096160307527,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
5,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_profit_margin,0.004285154398530722,0.0003662678354885429,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
6,dmf_dcs,DMF/DCS Fusion,0,Distressed,asset_turnover,0.004158091265708208,-0.00016991580196190625,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
7,dmf_dcs,DMF/DCS Fusion,0,Distressed,roe,0.003690755693241954,0.0009868810884654522,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
8,dmf_dcs,DMF/DCS Fusion,0,Distressed,gross_profit_margin,0.003284308360889554,5.022673212806694e-05,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
9,dmf_dcs,DMF/DCS Fusion,0,Distressed,ebit_margin,0.0031060802284628153,3.745009962585755e-05,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
10,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_cashflow_ps,0.0028997696936130524,0.00036109754000790417,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
11,dmf_dcs,DMF/DCS Fusion,0,Distressed,net_profit_margin,0.002832062542438507,0.0016158957732841372,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
12,dmf_dcs,DMF/DCS Fusion,0,Distressed,free_cashflow_ps,0.002830658107995987,0.0005793476011604071,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
1,dmf_dcs,DMF/DCS Fusion,1,HY,pretax_profit_margin,0.3405470848083496,-0.1487039178609848,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
2,dmf_dcs,DMF/DCS Fusion,1,HY,operating_profit_margin,0.30423057079315186,0.17818260192871094,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
3,dmf_dcs,DMF/DCS Fusion,1,HY,current_ratio,0.0719388946890831,-0.004467751365154982,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
4,dmf_dcs,DMF/DCS Fusion,1,HY,debt_equity_ratio,0.06752551347017288,-0.012327729724347591,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
5,dmf_dcs,DMF/DCS Fusion,1,HY,ebit_margin,0.05567072704434395,-0.030062640085816383,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
6,dmf_dcs,DMF/DCS Fusion,1,HY,asset_turnover,0.05107298493385315,-0.0020596610847860575,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
7,dmf_dcs,DMF/DCS Fusion,1,HY,operating_cashflow_ps,0.04490117356181145,0.013700387440621853,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
8,dmf_dcs,DMF/DCS Fusion,1,HY,net_profit_margin,0.033519942313432693,-0.033519942313432693,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
9,dmf_dcs,DMF/DCS Fusion,1,HY,roe,0.02857458032667637,0.010072850622236729,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
10,dmf_dcs,DMF/DCS Fusion,1,HY,gross_profit_margin,0.023482000455260277,0.004542732145637274,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04380480893142122,0.8601276842716192
