rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,dmf_dcs,DMF/DCS Fusion,0,Distressed,gross_profit_margin,0.01124532986432314,0.0029180797282606363,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
2,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_cashflow_ps,0.009554479271173477,-0.009226392954587936,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
3,dmf_dcs,DMF/DCS Fusion,0,Distressed,pretax_profit_margin,0.006402151193469763,0.003257041098549962,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
4,dmf_dcs,DMF/DCS Fusion,0,Distressed,net_profit_margin,0.005073186010122299,0.0019809831865131855,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
5,dmf_dcs,DMF/DCS Fusion,0,Distressed,roa,0.004898711573332548,0.0023212539963424206,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
6,dmf_dcs,DMF/DCS Fusion,0,Distressed,current_ratio,0.0048489817418158054,0.00015304678527172655,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
7,dmf_dcs,DMF/DCS Fusion,0,Distressed,operating_profit_margin,0.004546788986772299,-0.0016040313057601452,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
8,dmf_dcs,DMF/DCS Fusion,0,Distressed,ebit_margin,0.004414679948240519,-0.0009188136900775135,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
9,dmf_dcs,DMF/DCS Fusion,0,Distressed,asset_turnover,0.004111260641366243,-0.0018104156479239464,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
10,dmf_dcs,DMF/DCS Fusion,0,Distressed,free_cashflow_ps,0.003750099800527096,0.0008353048469871283,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
11,dmf_dcs,DMF/DCS Fusion,0,Distressed,debt_equity_ratio,0.003229013876989484,0.00011592672672122717,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
12,dmf_dcs,DMF/DCS Fusion,0,Distressed,roe,0.00253004371188581,0.001817212556488812,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
1,dmf_dcs,DMF/DCS Fusion,1,HY,pretax_profit_margin,0.293484091758728,-0.14275307953357697,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
2,dmf_dcs,DMF/DCS Fusion,1,HY,operating_profit_margin,0.26031583547592163,0.14885841310024261,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
3,dmf_dcs,DMF/DCS Fusion,1,HY,debt_equity_ratio,0.08594971895217896,-0.029247792437672615,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
4,dmf_dcs,DMF/DCS Fusion,1,HY,current_ratio,0.07623957842588425,-0.005994910839945078,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
5,dmf_dcs,DMF/DCS Fusion,1,HY,asset_turnover,0.05376407504081726,0.021634267643094063,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
6,dmf_dcs,DMF/DCS Fusion,1,HY,net_profit_margin,0.048179883509874344,-0.029898980632424355,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
7,dmf_dcs,DMF/DCS Fusion,1,HY,ebit_margin,0.047784607857465744,-0.03040449135005474,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
8,dmf_dcs,DMF/DCS Fusion,1,HY,operating_cashflow_ps,0.035870715975761414,0.015284891240298748,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
9,dmf_dcs,DMF/DCS Fusion,1,HY,roa,0.027029668912291527,0.0029322344344109297,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
10,dmf_dcs,DMF/DCS Fusion,1,HY,gross_profit_margin,0.01962216943502426,0.005277890246361494,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
11,dmf_dcs,DMF/DCS Fusion,1,HY,roe,0.014957007952034473,0.0062756664119660854,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
12,dmf_dcs,DMF/DCS Fusion,1,HY,free_cashflow_ps,0.013633821159601212,-0.011165780015289783,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
1,dmf_dcs,DMF/DCS Fusion,2,IG,pretax_profit_margin,0.30143025517463684,0.1151512935757637,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
2,dmf_dcs,DMF/DCS Fusion,2,IG,operating_profit_margin,0.2545745074748993,-0.13731248676776886,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
3,dmf_dcs,DMF/DCS Fusion,2,IG,debt_equity_ratio,0.08415517956018448,0.016745004802942276,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
4,dmf_dcs,DMF/DCS Fusion,2,IG,current_ratio,0.07977365702390671,0.010468224994838238,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
5,dmf_dcs,DMF/DCS Fusion,2,IG,net_profit_margin,0.05003302916884422,0.025070592761039734,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
6,dmf_dcs,DMF/DCS Fusion,2,IG,ebit_margin,0.047212257981300354,0.027152374386787415,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
7,dmf_dcs,DMF/DCS Fusion,2,IG,asset_turnover,0.03670363500714302,-0.015875952318310738,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
8,dmf_dcs,DMF/DCS Fusion,2,IG,roe,0.026088425889611244,-0.019804874435067177,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
9,dmf_dcs,DMF/DCS Fusion,2,IG,operating_cashflow_ps,0.026062697172164917,-0.008736318908631802,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
10,dmf_dcs,DMF/DCS Fusion,2,IG,roa,0.025315159931778908,-0.0117524778470397,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
11,dmf_dcs,DMF/DCS Fusion,2,IG,gross_profit_margin,0.021446095779538155,-0.01481708511710167,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.04516375533948854,0.8456181079512478
