feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.25918514902393025,-0.012221856663624445,1,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
operating_profit_margin,0.23568937368690968,0.010701890413959822,2,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
current_ratio,0.07694599218666553,0.0011877012439072132,3,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
ebit_margin,0.05353526802112659,-0.0004777646002670129,4,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
debt_equity_ratio,0.0480931925897797,-0.002239090080062548,5,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
operating_cashflow_ps,0.03698457001398007,0.0016175066120922565,6,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
net_profit_margin,0.03349663317203522,-0.0028933490005632243,7,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
gross_profit_margin,0.03190880284334222,-0.00038688385393470526,8,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
asset_turnover,0.03092835641776522,0.0018232348763073485,9,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
roa,0.024558836904664833,-0.0037324742103616395,10,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
roe,0.02079677674919367,-0.0004401704645715654,11,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
free_cashflow_ps,0.011528780916705728,-0.0008084289341544112,12,dmf_dcs,DMF/DCS Fusion,aligned_original_financial_features,dmf_probs,dmf_probs
