row_id,ticker,company_name,rating_date,sector,rating_detail,last_y,pred_label,raw_pred_label,prob_0,prob_1,prob_2
test_000211,UNIT,Uniti Group Inc.,2016-12-12,4,0,0,2,2,0.39584556,0.20723231,0.39692214
test_000034,AMD,"Advanced Micro Devices, Inc.",2015-04-21,10,0,1,1,1,0.3214696,0.5214614,0.15706898
test_001604,BTE,Baytex Energy Corp,2016-02-03,5,0,1,1,1,0.24098243,0.5437862,0.21523139
test_000381,IO,Ion Geophysical Corporation,2016-10-14,5,0,0,1,1,0.2312888,0.55586976,0.2128415
test_000576,SXC,"SunCoke Energy, Inc.",2016-02-03,1,0,1,1,1,0.1809803,0.6014095,0.21761023
test_000860,BZH,Beazer Homes USA Inc.,2014-06-13,8,0,1,1,1,0.15164861,0.78987825,0.058473114
test_001293,BZH,"Beazer Homes USA, Inc.",2012-09-06,8,0,1,1,1,0.15010497,0.8041456,0.045749497
test_000811,TECK,Teck Resources Limited,2016-05-23,8,0,1,1,1,0.13641764,0.78471476,0.07886759
test_001666,THC,Tenet Healthcare Corp.,2015-07-08,7,0,1,1,1,0.1362857,0.8064313,0.057283048
test_001714,BTU,PEABODY ENERGY CORPORATION,2014-10-22,5,0,1,1,1,0.13585334,0.7895916,0.07455497
test_001256,BZH,Beazer Homes USA Inc.,2016-03-11,8,0,1,1,1,0.13323937,0.7506034,0.11615725
test_000024,TDG,TransDigm Inc.,2013-08-23,1,0,1,1,1,0.121473856,0.703959,0.17456718
test_001617,TDG,TransDigm Inc.,2013-06-28,1,0,1,1,1,0.120671704,0.71252507,0.16680329
test_000678,CCOI,"Cogent Communications Finance, Inc.",2014-04-01,4,0,1,1,1,0.11939341,0.6857708,0.19483578
test_001500,KTOS,"Kratos Defense and Security Solutions, Inc.",2014-11-13,10,0,1,1,1,0.08583214,0.8640551,0.050112844
test_000472,GLDD,Great Lakes Dredge & Dock Corporation,2013-08-26,8,0,1,1,1,0.08222399,0.79695743,0.120818585
test_001698,THC,Tenet Healthcare Corp.,2012-07-16,7,0,1,1,1,0.08017772,0.6334748,0.28634748
test_000078,KTOS,"Kratos Defense & Security Solutions, Inc.",2016-12-16,1,0,1,1,1,0.04819333,0.81906164,0.13274507
test_001514,CLF,Cleveland-Cliffs Inc.,2016-01-05,8,0,1,1,1,0.036658183,0.86430496,0.099036835
test_001606,NRP,Natural Resource Partners LP,2016-06-01,5,0,1,1,1,0.028597316,0.8747347,0.09666796
test_000747,THC,Tenet Healthcare Corp.,2014-03-05,7,0,1,1,1,0.026600815,0.8817297,0.09166947
test_001449,CENT,Central Garden & Pet Co.,2013-01-18,4,0,1,1,1,0.02530191,0.8800106,0.094687425
