rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,dmf_dcs,DMF/DCS Fusion,0,0,pretax_profit_margin,0.04178653284907341,0.04178653284907341,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
2,dmf_dcs,DMF/DCS Fusion,0,0,net_profit_margin,0.030805567279458046,-0.030805567279458046,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
3,dmf_dcs,DMF/DCS Fusion,0,0,operating_profit_margin,0.025214945897459984,-0.025203948840498924,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
4,dmf_dcs,DMF/DCS Fusion,0,0,roa,0.008597535081207752,-0.006574107334017754,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
5,dmf_dcs,DMF/DCS Fusion,0,0,ebit_margin,0.00824143085628748,0.007368710357695818,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
6,dmf_dcs,DMF/DCS Fusion,0,0,debt_equity_ratio,0.008122623898088932,-0.004897464066743851,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
7,dmf_dcs,DMF/DCS Fusion,0,0,current_ratio,0.005820220336318016,-0.0029310015961527824,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
8,dmf_dcs,DMF/DCS Fusion,0,0,gross_profit_margin,0.004668720532208681,0.0002356822369620204,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
9,dmf_dcs,DMF/DCS Fusion,0,0,operating_cashflow_ps,0.00414575170725584,0.0015661953948438168,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
10,dmf_dcs,DMF/DCS Fusion,0,0,asset_turnover,0.00394290080294013,-0.0013184727868065238,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
11,dmf_dcs,DMF/DCS Fusion,0,0,free_cashflow_ps,0.003574482863768935,0.0011062856065109372,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
12,dmf_dcs,DMF/DCS Fusion,0,0,roe,0.001743297092616558,0.0008192567038349807,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
1,dmf_dcs,DMF/DCS Fusion,1,1,pretax_profit_margin,0.3736163377761841,-0.14993764460086823,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
2,dmf_dcs,DMF/DCS Fusion,1,1,operating_profit_margin,0.3498131334781647,0.17325221002101898,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
3,dmf_dcs,DMF/DCS Fusion,1,1,current_ratio,0.1145101860165596,-0.0004513990134000778,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
4,dmf_dcs,DMF/DCS Fusion,1,1,ebit_margin,0.07817850261926651,-0.04411676153540611,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
5,dmf_dcs,DMF/DCS Fusion,1,1,debt_equity_ratio,0.06847136467695236,-0.009786807931959629,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
6,dmf_dcs,DMF/DCS Fusion,1,1,operating_cashflow_ps,0.0558692067861557,0.027076678350567818,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
7,dmf_dcs,DMF/DCS Fusion,1,1,gross_profit_margin,0.04578477516770363,-0.011631383560597897,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
8,dmf_dcs,DMF/DCS Fusion,1,1,net_profit_margin,0.045098114758729935,0.02722945250570774,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
9,dmf_dcs,DMF/DCS Fusion,1,1,asset_turnover,0.04379941523075104,0.019151942804455757,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
10,dmf_dcs,DMF/DCS Fusion,1,1,roe,0.02979750744998455,0.00649015000090003,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
11,dmf_dcs,DMF/DCS Fusion,1,1,roa,0.02926708571612835,-0.005349880550056696,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
12,dmf_dcs,DMF/DCS Fusion,1,1,free_cashflow_ps,0.01739119552075863,-0.014644508250057697,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
1,dmf_dcs,DMF/DCS Fusion,2,2,pretax_profit_margin,0.3621525764465332,0.07148554176092148,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
2,dmf_dcs,DMF/DCS Fusion,2,2,operating_profit_margin,0.33204004168510437,-0.1159425899386406,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
3,dmf_dcs,DMF/DCS Fusion,2,2,current_ratio,0.11050757020711899,0.0069455043412745,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
4,dmf_dcs,DMF/DCS Fusion,2,2,ebit_margin,0.07418587058782578,0.035314757376909256,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
5,dmf_dcs,DMF/DCS Fusion,2,2,debt_equity_ratio,0.06768558919429779,0.007967001758515835,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
6,dmf_dcs,DMF/DCS Fusion,2,2,operating_cashflow_ps,0.05093875154852867,-0.023790353909134865,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
7,dmf_dcs,DMF/DCS Fusion,2,2,gross_profit_margin,0.045272912830114365,0.01023504976183176,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
8,dmf_dcs,DMF/DCS Fusion,2,2,asset_turnover,0.04504275321960449,-0.012363765388727188,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
9,dmf_dcs,DMF/DCS Fusion,2,2,roa,0.0358118899166584,0.0007265652529895306,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
10,dmf_dcs,DMF/DCS Fusion,2,2,roe,0.030849525704979897,-0.008629918098449707,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
11,dmf_dcs,DMF/DCS Fusion,2,2,net_profit_margin,0.02458621747791767,-0.005103932227939367,aligned_original_financial_features,dmf_probs,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,dmf_probs,0.06108353056827161,0.8351712130005804
