feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.10117699392139912,-0.0060096682573203,1,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
operating_profit_margin,0.07019179066022237,0.0005248735348383585,2,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
current_ratio,0.059873160595695175,0.0008207408633703986,3,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
debt_equity_ratio,0.05873379856348038,0.0007924415792028109,4,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
ebit_margin,0.03878611885011196,-0.0021191504783928394,5,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
roa,0.03149948952098688,0.00017745249594251314,6,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
net_profit_margin,0.024063359790792067,0.0008742767774189512,7,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
asset_turnover,0.023006136218706768,0.00198221615573857,8,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
gross_profit_margin,0.022850210467974346,-0.001991918902300919,9,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
free_cashflow_ps,0.02107757283374667,0.0028807083144783974,10,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
operating_cashflow_ps,0.0197946277136604,0.00013532241185506186,11,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
roe,0.01331759492556254,-0.000560804425428311,12,gat,GAT,df_test_mask_original_financial_features,test_proba,test_proba
