rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,gat,GAT,0,Distressed,debt_equity_ratio,0.029658198356628418,-0.005846405401825905,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
2,gat,GAT,0,Distressed,operating_profit_margin,0.02577172964811325,0.0068761929869651794,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
3,gat,GAT,0,Distressed,ebit_margin,0.021157903596758842,-0.0061153932474553585,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
4,gat,GAT,0,Distressed,current_ratio,0.020631877705454826,0.0015530408127233386,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
5,gat,GAT,0,Distressed,pretax_profit_margin,0.01971394382417202,-0.00026720247115008533,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
6,gat,GAT,0,Distressed,roa,0.01886558346450329,-0.009194398298859596,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
7,gat,GAT,0,Distressed,gross_profit_margin,0.017046790570020676,-0.0019722299184650183,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
8,gat,GAT,0,Distressed,asset_turnover,0.010164888575673103,-0.00015604014333803207,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
9,gat,GAT,0,Distressed,operating_cashflow_ps,0.009108270518481731,-0.0024996434804052114,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
10,gat,GAT,0,Distressed,roe,0.008245580829679966,0.007677306886762381,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
11,gat,GAT,0,Distressed,net_profit_margin,0.0060991267673671246,-0.0030820223037153482,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
12,gat,GAT,0,Distressed,free_cashflow_ps,0.005268149543553591,-0.004275606945157051,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
1,gat,GAT,1,HY,pretax_profit_margin,0.13795387744903564,-0.035627614706754684,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
2,gat,GAT,1,HY,operating_profit_margin,0.08487296849489212,0.03476804122328758,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
3,gat,GAT,1,HY,current_ratio,0.07018381357192993,-0.0072180950082838535,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
4,gat,GAT,1,HY,debt_equity_ratio,0.06066633760929108,-0.012272088788449764,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
5,gat,GAT,1,HY,ebit_margin,0.04286888241767883,-0.03735189139842987,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
6,gat,GAT,1,HY,asset_turnover,0.035345904529094696,0.01590711623430252,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
7,gat,GAT,1,HY,roa,0.03398902341723442,0.006450145039707422,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
8,gat,GAT,1,HY,net_profit_margin,0.03143543750047684,0.0010869050165638328,df_test_mask_original_financial_features,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.03606567584754026,0.8195008705745792
