hidden,heads,dropout,lr,weight_decay,knn_k,max_epochs,patience,prior_name,trial,fidelity_epochs,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,val_qwk,val_chgacc,params,selection_score
96,2,0.24017929655744263,0.0030853649108458785,5.0286478088204814e-05,8,200,35,mutated_sparse_fast_graph,5,30,0.3784235417842865,0.8596287703016241,0.7186241872762835,0.8595862030418648,0.7427789369769582,0.40298507462686567,47859,1.0726256999032258
64,4,0.25,0.002,0.0001,16,200,35,current_strong_default,0,30,0.41427645087242126,0.8631090487238979,0.6170936488534937,0.853008116976995,0.7193419667556121,0.417910447761194,46707,0.9630280025643563
64,6,0.25050305806708323,0.0015572044115209854,7.743456157465617e-05,24,200,35,mutated_compact_local_graph,9,30,0.4150914251804352,0.8538283062645011,0.6254491522066398,0.8457310266779983,0.7061804081593184,0.373134328358209,69619,0.9548317098829872
64,2,0.15,0.0025,0.0001,8,200,35,sparse_fast_graph,3,30,0.4739508330821991,0.8109048723897911,0.618291046441692,0.8076153021084042,0.6125346437804224,0.5373134328358209,23795,0.9446905488669152
64,4,0.2434523414644156,0.0022236120436973277,0.00012040959765515336,32,200,35,mutated_compact_local_graph,8,30,0.43496522307395935,0.857308584686775,0.6119197213409968,0.8470136733416361,0.7141025074072436,0.34328358208955223,46707,0.9397984795681068
128,4,0.259020581674277,0.0008320388280524491,0.0003273732327626799,6,240,35,mutated_larger_regularized_graph,7,18,0.511713445186615,0.8097447795823666,0.6244423509708483,0.8059770079769358,0.6055772080513219,0.5223880597014925,158707,0.9296944738723448
64,6,0.2478033070939224,0.0023320610909331203,7.09877926859031e-05,12,200,35,mutated_sparse_fast_graph,6,30,0.4985600709915161,0.7993039443155452,0.584917735307955,0.7922232536496566,0.5948462999573594,0.5522388059701493,69619,0.9014141129353529
48,4,0.2,0.003,0.0001,12,200,35,compact_local_graph,1,30,0.47058871388435364,0.814385150812065,0.5815559667575639,0.8054025662138674,0.6112015374659266,0.47761194029850745,28947,0.8951348341094183
96,4,0.3,0.0012,0.0002,24,200,35,larger_regularized_graph,2,30,0.4967133104801178,0.808584686774942,0.5547868572494293,0.7962544725993633,0.5803813489507661,0.4925373134328358,94515,0.8511596939922972
96,4,0.09391718490769307,0.0011131194648996445,0.00011076850782661392,16,240,35,mutated_current_strong_default,4,27,0.5467957258224487,0.7784222737819025,0.5668589276418532,0.7687933319725443,0.542419917930384,0.5074626865671642,94515,0.8485281458363173
