rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,asset_turnover,0.0044477409683167934,0.0001523458631709218,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
2,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,free_cashflow_ps,0.004116039257496595,0.0025815072003751993,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
3,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,pretax_profit_margin,0.004089037422090769,0.0006573146092705429,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
4,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,roa,0.003730767173692584,-0.0032063766848295927,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
5,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,gross_profit_margin,0.0036616474390029907,-0.0016332349041476846,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
6,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,ebit_margin,0.003383490489795804,0.0016798017313703895,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
7,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,debt_equity_ratio,0.0033164899796247482,-0.0013294609962031245,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
8,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,operating_profit_margin,0.002677016891539097,-0.001074218307621777,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
9,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,roe,0.002593286568298936,0.00014092896890360862,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
10,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,operating_cashflow_ps,0.002488809870555997,-0.001483793486841023,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
11,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,net_profit_margin,0.0024195604491978884,-0.0004817456647288054,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
12,fr_ttx,FR-TTX Fuzzy Rank Ensemble,0,0,current_ratio,0.002211405197158456,0.0013905809028074145,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
1,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,operating_profit_margin,0.1823306828737259,-0.1296326369047165,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
2,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,net_profit_margin,0.13935793936252594,0.1338266134262085,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
3,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,ebit_margin,0.12415885925292969,0.07023238390684128,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
4,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,pretax_profit_margin,0.0923808217048645,-0.07682622224092484,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
5,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,operating_cashflow_ps,0.09221493452787399,-0.06087031960487366,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
6,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,gross_profit_margin,0.07940196245908737,0.06838247925043106,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
7,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,free_cashflow_ps,0.06916765868663788,-0.018773140385746956,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
8,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,debt_equity_ratio,0.06043583154678345,0.028889939188957214,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
9,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,roa,0.0501897931098938,-0.0013247765600681305,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
10,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,asset_turnover,0.0478731133043766,-0.01532705407589674,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
11,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,current_ratio,0.03659315034747124,-0.005244122352451086,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
12,fr_ttx,FR-TTX Fuzzy Rank Ensemble,1,1,roe,0.03513992950320244,0.02253708802163601,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
1,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,operating_profit_margin,0.1923929899930954,0.13633359968662262,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
2,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,ebit_margin,0.1395866721868515,-0.09003231674432755,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
3,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,net_profit_margin,0.12966002523899078,-0.1175396740436554,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
4,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,operating_cashflow_ps,0.09624137729406357,0.06402380764484406,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
5,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,pretax_profit_margin,0.09483301639556885,0.07660277187824249,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
6,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,debt_equity_ratio,0.07735828310251236,-0.019262226298451424,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
7,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,free_cashflow_ps,0.06736666709184647,0.012523249723017216,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
8,fr_ttx,FR-TTX Fuzzy Rank Ensemble,2,2,gross_profit_margin,0.05674498900771141,-0.05119507387280464,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.09701907744881913,0.709808473592571
