feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
asset_turnover,0.053357231275488935,-0.0016949027388667066,1,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
pretax_profit_margin,0.04165958089288324,0.0028059957937027016,2,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
debt_equity_ratio,0.03714959203110387,-0.005838689306983724,3,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
roa,0.03599335035930077,0.005182090105032937,4,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
ebit_margin,0.034790547021354236,0.004705747007392347,5,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
operating_cashflow_ps,0.03287807805463672,-0.001971798095231255,6,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
gross_profit_margin,0.032545680878683925,-0.0025035789840330835,7,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
operating_profit_margin,0.03215676903103789,0.0014638799087454875,8,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
current_ratio,0.02267317962832749,-0.002547638607211411,9,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
free_cashflow_ps,0.022566769737750292,0.0021204542523870864,10,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
roe,0.01792694628238678,-0.0018974649477362011,11,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
net_profit_margin,0.013400663738138974,-0.0014233432593755424,12,fr_pll,FR-PLL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
