rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,ebit_margin,0.005149644333869219,-0.0031130060087889433,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
2,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,asset_turnover,0.004655856639146805,0.0014529278269037604,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
3,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,debt_equity_ratio,0.004333390388637781,-0.0020897909998893738,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
4,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,operating_cashflow_ps,0.0030768641736358404,-0.0007537559140473604,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
5,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,gross_profit_margin,0.0030075449030846357,-0.0012781339464709163,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
6,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,roa,0.0029241766314953566,-0.0011487120063975453,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
7,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,pretax_profit_margin,0.002632036805152893,0.0010026359232142568,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
8,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,roe,0.0025060069747269154,-0.0008371938019990921,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
9,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,net_profit_margin,0.0018874132074415684,0.00020796242461074144,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
10,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,current_ratio,0.0018450088100507855,6.707519060000777e-05,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
11,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,operating_profit_margin,0.0016529470449313521,0.000408954598242417,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
12,fr_pll,FR-PLL Fuzzy Rank Ensemble,0,0,free_cashflow_ps,0.0016331286169588566,1.0831708095793147e-05,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
1,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,ebit_margin,0.2172827273607254,0.1720973253250122,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
2,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,operating_profit_margin,0.11879505962133408,-0.0963912382721901,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
3,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,net_profit_margin,0.08415204286575317,-0.06451325863599777,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
4,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,pretax_profit_margin,0.07197574526071548,-0.04195812717080116,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
5,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,roa,0.06498292833566666,0.028885990381240845,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
6,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,gross_profit_margin,0.052197378128767014,0.026580557227134705,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
7,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,asset_turnover,0.0510832816362381,-0.0033613990526646376,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
8,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,current_ratio,0.05077371001243591,0.005317874252796173,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
9,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,roe,0.046881500631570816,-0.0031337179243564606,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
10,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,operating_cashflow_ps,0.042466845363378525,-0.032231107354164124,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
11,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,debt_equity_ratio,0.03127991035580635,0.015874743461608887,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
12,fr_pll,FR-PLL Fuzzy Rank Ensemble,1,1,free_cashflow_ps,0.024018121883273125,-0.011624947190284729,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
1,fr_pll,FR-PLL Fuzzy Rank Ensemble,2,2,ebit_margin,0.19327682256698608,-0.15412555634975433,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
2,fr_pll,FR-PLL Fuzzy Rank Ensemble,2,2,operating_profit_margin,0.12441279739141464,0.09814006090164185,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
3,fr_pll,FR-PLL Fuzzy Rank Ensemble,2,2,net_profit_margin,0.09112729877233505,0.0738208219408989,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
4,fr_pll,FR-PLL Fuzzy Rank Ensemble,2,2,pretax_profit_margin,0.07919671386480331,0.0476592592895031,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
5,fr_pll,FR-PLL Fuzzy Rank Ensemble,2,2,roe,0.060950618237257004,-0.024807343259453773,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.0998858570145943,0.6987811955890888
