feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
operating_profit_margin,0.12023160303942859,-0.003030762115182976,1,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
net_profit_margin,0.09339617285877466,0.003071268554776907,2,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
debt_equity_ratio,0.06674248414735,-0.0017361813224852085,3,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
roa,0.06644503260031343,0.004579170684640606,4,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
pretax_profit_margin,0.05281373676067839,-0.002969344612210989,5,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
operating_cashflow_ps,0.04744437065285941,-0.002597845559648704,6,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
ebit_margin,0.04702313601349791,0.0006253979324052731,7,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
gross_profit_margin,0.04001091420650482,-0.004348771646618843,8,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
asset_turnover,0.03788590974484881,-0.002784938047019144,9,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
roe,0.03064529225230217,-0.0038476430090668146,10,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
free_cashflow_ps,0.02538699354045093,-0.00039875428774394095,11,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
current_ratio,0.018162409930179518,-0.0007960021418208877,12,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,aligned_financial_features,fp,fp
