rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,debt_equity_ratio,0.006461470853537321,-0.0022633851040154696,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
2,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,roa,0.005599434021860361,-0.00435096537694335,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
3,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,ebit_margin,0.005204835440963507,0.001776228309608996,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
4,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,gross_profit_margin,0.0047196452505886555,-0.0020566321909427643,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
5,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,asset_turnover,0.004334680270403624,0.0008939653635025024,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
6,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,net_profit_margin,0.0037179465871304274,0.0004267982440069318,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
7,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,operating_cashflow_ps,0.0032500505913048983,-0.0007194734644144773,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
8,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,current_ratio,0.0028018569573760033,0.0014644389739260077,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
9,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,free_cashflow_ps,0.0022995646577328444,0.000377672869944945,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
10,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,roe,0.0019550977740436792,0.0005178620922379196,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
11,fr_ttlpxl,FR-TTLPXL Fuzzy Rank Ensemble,0,0,operating_profit_margin,0.0018283207900822163,-0.0003793348732870072,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10178309578158289,0.701683110853163
