feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
roa,0.1050711628049612,-0.0022301083275427422,1,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
operating_profit_margin,0.08633254996190469,0.001403803238645196,2,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
ebit_margin,0.055787362080688276,0.0012281210510991514,3,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
asset_turnover,0.037736718698094286,0.003185499575920403,4,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
gross_profit_margin,0.037577750626951456,0.0030718391062691808,5,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
operating_cashflow_ps,0.035270240933944784,0.002098338290428122,6,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
net_profit_margin,0.03139216251050433,-0.0015069116295004885,7,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
pretax_profit_margin,0.024090044084005058,-0.0020487867101716497,8,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
debt_equity_ratio,0.023918733233585954,-0.00029698336341728765,9,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
free_cashflow_ps,0.017349513868490856,-0.0011967557366006076,10,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
current_ratio,0.014843640344527861,-0.0031439619488082826,11,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
roe,0.013584420395394167,-0.002598792363035803,12,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
