rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,current_ratio,0.004720461554825306,0.0012364921858534217,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
2,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,operating_cashflow_ps,0.004717582371085882,0.0009294583578594029,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
3,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,gross_profit_margin,0.0043500447645783424,-0.0014751210110262036,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
4,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,pretax_profit_margin,0.004014536738395691,-0.0013817059807479382,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
5,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,net_profit_margin,0.0038739184383302927,-0.002087636152282357,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
6,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,roa,0.003058754140511155,-0.002283823676407337,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
7,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,operating_profit_margin,0.002956080250442028,0.0026234264951199293,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
8,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,ebit_margin,0.0029164429288357496,-0.0004704761377070099,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
9,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,debt_equity_ratio,0.0026073018088936806,-0.001327366684563458,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
10,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,asset_turnover,0.002374643227085471,0.0016909801634028554,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
11,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,roe,0.0015656226314604282,-0.00022315070964396,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
12,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,0,0,free_cashflow_ps,0.0014134530210867524,0.0005887860315851867,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
1,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,ebit_margin,0.14538246393203735,-0.09188714623451233,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
2,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,pretax_profit_margin,0.14027686417102814,0.0700366273522377,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
3,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,roe,0.12304416298866272,0.08471337705850601,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
4,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,roa,0.09542838484048843,0.07187450677156448,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
5,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,net_profit_margin,0.08374186605215073,-0.035392872989177704,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
6,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,operating_profit_margin,0.0738421157002449,-0.05631661415100098,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
7,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,operating_cashflow_ps,0.06285655498504639,-0.0472547709941864,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
8,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,gross_profit_margin,0.06272957473993301,0.029456982389092445,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
9,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,asset_turnover,0.04834917187690735,-0.024936579167842865,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
10,fi_ttx,FI-TTX Fuzzy Choquet Ensemble,1,1,current_ratio,0.04622998833656311,0.0039361994713544846,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10834011474812968,0.705745792222867
