rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,ebit_margin,0.004407035652548075,-0.0023819778580218554,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
2,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,operating_cashflow_ps,0.004383051302284002,-0.002608806826174259,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
3,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,asset_turnover,0.0039907232858240604,0.0005543033475987613,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
4,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,roa,0.003751919837668538,-0.002073965733870864,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
5,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,net_profit_margin,0.0029615333769470453,-0.0016125518595799804,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
6,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,roe,0.0027654364239424467,0.00013413187116384506,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
7,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,debt_equity_ratio,0.002242692979052663,0.0002763474767562002,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
8,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,gross_profit_margin,0.0021404088474810123,-8.371489821001887e-05,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
9,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,free_cashflow_ps,0.0017513224156573415,0.0011821856023743749,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
10,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,operating_profit_margin,0.0017325695371255279,0.0014685027999803424,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
11,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,current_ratio,0.001448957365937531,0.0003571737033780664,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
12,fi_pll,FI-PLL Fuzzy Choquet Ensemble,0,0,pretax_profit_margin,0.0009079536539502442,-7.351472595473751e-05,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
1,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,roa,0.12881453335285187,0.121002696454525,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
2,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,ebit_margin,0.09832224994897842,0.05077323317527771,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
3,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,operating_profit_margin,0.09816718846559525,-0.06979077309370041,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
4,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,pretax_profit_margin,0.079704150557518,-0.0647047683596611,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
5,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,debt_equity_ratio,0.06883716583251953,-0.010945298708975315,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
6,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,gross_profit_margin,0.06819771975278854,0.048619214445352554,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
7,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,operating_cashflow_ps,0.05837059020996094,-0.0450814850628376,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
8,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,free_cashflow_ps,0.055147964507341385,-0.02540610544383526,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
9,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,roe,0.05094621703028679,-0.0406993143260479,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
10,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,asset_turnover,0.03604387491941452,-0.00695050647482276,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
11,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,net_profit_margin,0.03231031075119972,0.02267405204474926,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
12,fi_pll,FI-PLL Fuzzy Choquet Ensemble,1,1,current_ratio,0.028365252539515495,0.007797775790095329,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
1,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,roa,0.11132992058992386,-0.09836787730455399,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
2,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,operating_profit_margin,0.10422515869140625,0.06651923805475235,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
3,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,ebit_margin,0.08579198271036148,-0.04129558801651001,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
4,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,debt_equity_ratio,0.08484546095132828,-0.005892766173928976,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
5,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,pretax_profit_margin,0.07960597425699234,0.061807382851839066,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
6,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,gross_profit_margin,0.07390554994344711,-0.059154730290174484,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
7,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,operating_cashflow_ps,0.05905736982822418,0.0534878671169281,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
8,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,free_cashflow_ps,0.05252109840512276,0.004739005118608475,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
9,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,roe,0.048822641372680664,0.02692335844039917,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
10,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,asset_turnover,0.03973649814724922,0.007836415432393551,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
11,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,net_profit_margin,0.03482556343078613,-0.025179332122206688,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
12,fi_pll,FI-PLL Fuzzy Choquet Ensemble,2,2,current_ratio,0.031358350068330765,-0.01773853972554207,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10154273419021388,0.701683110853163
