ticker,company_name,rating_date,sector,xai_shared_row_id,xai_shared_sample_id,row_id,model_row_id,test_index,rank,model_key,model_label,predicted_class_id,predicted_class,predicted_probability,explained_class_id,explained_class,explained_class_model_probability,explained_class_lime_prediction_probability,lime_rule,lime_weight_for_explained_class,direction,feature_source,probability_source,lime_probability_source,xai_probability_source,proxy_mse,proxy_argmax_agreement,html_path,lime_instance_plot_path
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,1,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,roe <= -0.17,0.005667306307797137,supports_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,2,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,free_cashflow_ps <= -0.33,0.004324487262381909,supports_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,3,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,ebit_margin <= -0.39,-0.004288600008252283,opposes_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,4,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,roa <= -0.35,-0.003788514473886163,opposes_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,5,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,-0.31 < debt_equity_ratio <= -0.03,0.0027258382606048844,supports_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,6,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,-0.17 < gross_profit_margin <= 0.61,0.002560556740273784,supports_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,7,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,operating_profit_margin <= -0.43,-0.0022401337497752073,opposes_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,8,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,pretax_profit_margin > 0.51,-0.0010573188493365425,opposes_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,9,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,-0.27 < current_ratio <= 0.42,0.0008175016458429432,supports_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
KOS,"Kosmos Energy, Ltd.",2016-02-09,5,000518,000518,000518,518,518,10,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,2,2,0.9883069720949366,0,0,1.8618390685191518e-05,0.001163228596595534,net_profit_margin <= -0.31,-0.0005757194042444403,opposes_explained_class,aligned_financial_features,fp,LimeTabularExplainer,fp,0.11139430854406934,0.6889146836912362,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518.html,/kaggle/working/credit_rating_artifacts/fi_ttlpxl_financial_lime_row_000518_all_classes_plot.png
