feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
operating_profit_margin,0.17611437919549644,0.0020814796055977545,1,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
ebit_margin,0.1750533183415731,-0.0003835840228324135,2,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
roa,0.07271123495108138,0.0019582597427264168,3,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
operating_cashflow_ps,0.04341218348902961,-0.001712979283183813,4,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
asset_turnover,0.04163323282652224,-0.004245625828237583,5,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
debt_equity_ratio,0.04001540314250936,-0.010255296889226884,6,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
roe,0.039816539346550904,-0.003952767753313917,7,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
gross_profit_margin,0.03573890340824922,0.005213688525448863,8,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
net_profit_margin,0.025043392980781693,0.0032835810949715474,9,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
free_cashflow_ps,0.02375205730398496,-0.00029060694699486095,10,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
current_ratio,0.01567274099215865,-0.0007126433192752302,11,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
pretax_profit_margin,0.011306938948109746,0.0030626277051245174,12,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,aligned_financial_features,fp,fp
