rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,gross_profit_margin,0.004057323560118675,0.0003865475591737777,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
2,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,operating_cashflow_ps,0.003657172666862607,-0.0023562018759548664,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
3,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,pretax_profit_margin,0.0025078419130295515,-0.0011569169582799077,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
4,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,free_cashflow_ps,0.002486344426870346,0.0014482769183814526,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
5,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,roe,0.0021819609683007,-0.0002211669198004529,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
6,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,current_ratio,0.001982595305889845,0.0008919438696466386,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
7,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,roa,0.001940900576300919,-0.00010049700358649716,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
8,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,debt_equity_ratio,0.001645866665057838,-0.0008422672399319708,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
9,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,ebit_margin,0.001329571008682251,0.0001679261913523078,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
10,fi_ttlpxl,FI-TTLPXL Fuzzy Choquet Ensemble,0,0,net_profit_margin,0.0012243682285770774,-0.0006151152192614973,aligned_financial_features,fp,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,fp,0.10979986749637434,0.6987811955890888
