feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.16247095095847422,-0.010613342135911807,1,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
operating_profit_margin,0.12626578198978677,0.00906803123264884,2,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
debt_equity_ratio,0.09651682537514716,-0.005559130241939177,3,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
current_ratio,0.05887952846630166,0.00019063856840754548,4,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
roe,0.04216474669131761,-0.0022912932424029955,5,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
asset_turnover,0.03433792432770133,-0.00011143383259574573,6,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
ebit_margin,0.03430173189068834,0.0019598133221734315,7,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
operating_cashflow_ps,0.030425332409019273,0.0025107537706693015,8,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
net_profit_margin,0.027372760872822255,-0.00781727721914649,9,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
gross_profit_margin,0.019171585522902507,-0.001128059110972875,10,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
free_cashflow_ps,0.015136016571583847,0.00017658401338849217,11,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
roa,0.014153719588648528,-0.002720420428280098,12,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
