rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,lstm,LSTM,0,Distressed,asset_turnover,0.0024330210871994495,-0.0008556828834116459,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
2,lstm,LSTM,0,Distressed,operating_cashflow_ps,0.0019761358853429556,0.001214978750795126,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
3,lstm,LSTM,0,Distressed,debt_equity_ratio,0.0017648417269811034,-0.0007428377284668386,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
4,lstm,LSTM,0,Distressed,ebit_margin,0.0017544818110764027,-0.0002935020311269909,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
5,lstm,LSTM,0,Distressed,free_cashflow_ps,0.0013433304848149419,-0.00016614522610325366,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
6,lstm,LSTM,0,Distressed,current_ratio,0.0013251797063276172,-0.000960596080403775,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
7,lstm,LSTM,0,Distressed,gross_profit_margin,0.0012569442624226213,-7.638031820533797e-05,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
8,lstm,LSTM,0,Distressed,operating_profit_margin,0.0009672578307799995,0.000581194821279496,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
9,lstm,LSTM,0,Distressed,pretax_profit_margin,0.0008571424405090511,-0.00041516128112562,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
10,lstm,LSTM,0,Distressed,roe,0.0007369556115008891,0.00030791465542279184,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
11,lstm,LSTM,0,Distressed,roa,0.0006385371671058238,0.00023632629017811269,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
12,lstm,LSTM,0,Distressed,net_profit_margin,0.0006343988352455199,0.0003914083354175091,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
1,lstm,LSTM,1,HY,pretax_profit_margin,0.25662466883659363,-0.20486432313919067,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
2,lstm,LSTM,1,HY,operating_profit_margin,0.1967349797487259,0.14864927530288696,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
3,lstm,LSTM,1,HY,debt_equity_ratio,0.14651314914226532,-0.05204901099205017,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
4,lstm,LSTM,1,HY,current_ratio,0.09035732597112656,-0.029944567009806633,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
5,lstm,LSTM,1,HY,roe,0.0616350919008255,0.014137250371277332,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
6,lstm,LSTM,1,HY,net_profit_margin,0.051714081317186356,-0.02375822700560093,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
7,lstm,LSTM,1,HY,asset_turnover,0.051454540342092514,0.008997729048132896,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
8,lstm,LSTM,1,HY,operating_cashflow_ps,0.04886734485626221,0.004561631474643946,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.054916244129847885,0.8566453859547302
