feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.16257016391803822,-0.005366108225037654,1,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
operating_profit_margin,0.12337386996174853,0.01157632019991676,2,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
debt_equity_ratio,0.0798016656190157,-0.003308262578987827,3,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
current_ratio,0.060443390160799026,-0.0011996009852737188,4,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
ebit_margin,0.03333508704478542,0.0013449425265813868,5,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
roe,0.030953745512912672,-0.0013725574729808916,6,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
operating_cashflow_ps,0.028741625758508842,0.0030674871522933245,7,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
asset_turnover,0.025544891444345314,0.0007404439772168795,8,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
gross_profit_margin,0.022198392543941736,-0.0024894048304607472,9,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
roa,0.021566850210850436,-0.005992833437630907,10,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
net_profit_margin,0.019025332915286224,-0.009708728253220519,11,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
free_cashflow_ps,0.011227190339316925,-0.000936932978220284,12,lstm,LSTM,original_financial_sequence_mean,test_proba,test_proba
