rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,lstm,LSTM,0,0,debt_equity_ratio,0.020590802654623985,-0.0006710176239721477,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
2,lstm,LSTM,0,0,current_ratio,0.02030482515692711,-0.0037013900000602007,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
3,lstm,LSTM,0,0,asset_turnover,0.014205829240381718,-0.006419366225600243,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
4,lstm,LSTM,0,0,pretax_profit_margin,0.011595682241022587,-0.006258998531848192,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
5,lstm,LSTM,0,0,operating_cashflow_ps,0.009748161770403385,0.002203834941610694,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
6,lstm,LSTM,0,0,operating_profit_margin,0.005755555350333452,0.004398012068122625,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
7,lstm,LSTM,0,0,roe,0.005604130681604147,-0.00030752745806239545,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
8,lstm,LSTM,0,0,gross_profit_margin,0.005036079790443182,0.0037797836121171713,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
9,lstm,LSTM,0,0,ebit_margin,0.005007501225918531,-0.0031356122344732285,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
10,lstm,LSTM,0,0,free_cashflow_ps,0.004752858076244593,0.001199571997858584,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
11,lstm,LSTM,0,0,net_profit_margin,0.004616714082658291,-0.0033311580773442984,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
12,lstm,LSTM,0,0,roa,0.0032681983429938555,-0.00043551481212489307,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
1,lstm,LSTM,1,1,pretax_profit_margin,0.23614920675754547,-0.17173033952713013,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
2,lstm,LSTM,1,1,operating_profit_margin,0.19069558382034302,0.1376335471868515,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
3,lstm,LSTM,1,1,debt_equity_ratio,0.103939950466156,-0.03288315236568451,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
4,lstm,LSTM,1,1,current_ratio,0.07087475806474686,-0.01501930970698595,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
5,lstm,LSTM,1,1,ebit_margin,0.049218013882637024,0.001522159785963595,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
6,lstm,LSTM,1,1,gross_profit_margin,0.0415913350880146,-0.023358216509222984,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
7,lstm,LSTM,1,1,roe,0.040524471551179886,0.016895664855837822,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
8,lstm,LSTM,1,1,asset_turnover,0.03873664513230324,0.017093593254685402,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
9,lstm,LSTM,1,1,operating_cashflow_ps,0.03176930174231529,0.008386055007576942,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
10,lstm,LSTM,1,1,net_profit_margin,0.031413301825523376,-0.016443222761154175,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05128824987402922,0.8479396401625072
