feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.1601645341143012,-0.00902200723066926,1,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
operating_profit_margin,0.13671300979331136,0.01331774921466907,2,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
debt_equity_ratio,0.07910265385483702,-0.005680339488511284,3,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
current_ratio,0.05123910610564053,0.0013093529269099236,4,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
ebit_margin,0.04734583447376887,-0.007070343010127544,5,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
roa,0.04105951621507605,-0.003934869154666861,6,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
asset_turnover,0.03792852427189549,0.004517860089739163,7,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
roe,0.03159086010418832,-0.011948462226428092,8,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
operating_cashflow_ps,0.02895782624060909,0.0020230981172062457,9,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
net_profit_margin,0.02074011880904436,-0.005157143653680881,10,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
free_cashflow_ps,0.01862781448289752,-0.001558722307284673,11,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
gross_profit_margin,0.01824542786926031,-0.000831488131855925,12,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
