rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,lightgbm,LightGBM,0,Distressed,roa,0.014566727913916111,-0.01237367745488882,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
2,lightgbm,LightGBM,0,Distressed,operating_profit_margin,0.00825136061757803,0.006177127361297607,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
3,lightgbm,LightGBM,0,Distressed,current_ratio,0.008037906140089035,-9.330853208666667e-05,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
4,lightgbm,LightGBM,0,Distressed,pretax_profit_margin,0.007986483164131641,0.002844884293153882,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
5,lightgbm,LightGBM,0,Distressed,debt_equity_ratio,0.0075912377797067165,-0.0029509507585316896,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
6,lightgbm,LightGBM,0,Distressed,net_profit_margin,0.00663340650498867,-0.006115463096648455,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
7,lightgbm,LightGBM,0,Distressed,gross_profit_margin,0.006007226649671793,0.0032369792461395264,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
8,lightgbm,LightGBM,0,Distressed,operating_cashflow_ps,0.005228911992162466,-0.0009785647271201015,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
9,lightgbm,LightGBM,0,Distressed,ebit_margin,0.004987500142306089,-0.004795385524630547,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
10,lightgbm,LightGBM,0,Distressed,asset_turnover,0.004520876798778772,0.0007890481501817703,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05449322218637443,0.8485200232153222
