feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.15782211037973562,-0.0034426748752593994,1,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
operating_profit_margin,0.13305374048650265,0.009350263280794024,2,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
debt_equity_ratio,0.07419259163240592,-0.0030281448271125555,3,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
current_ratio,0.06746171325600396,0.006178848396909113,4,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
ebit_margin,0.04734922371183833,-0.004274102936809261,5,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
roa,0.03554910724051297,-0.00520740700691628,6,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
asset_turnover,0.034024874214082956,-0.0009505549096502364,7,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
operating_cashflow_ps,0.027386889482537907,0.002201851947271886,8,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
free_cashflow_ps,0.022727100644260645,-0.003185183411308875,9,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
roe,0.02218394020261864,-0.0033381782850483432,10,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
net_profit_margin,0.014618704405923685,-0.003029822401003912,11,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
gross_profit_margin,0.01353180423999826,-0.0015288234765951831,12,lightgbm,LightGBM,original_financial_tabular_window_mean,test_proba,test_proba
