rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,lightgbm,LightGBM,0,0,pretax_profit_margin,0.00928007997572422,0.009196743369102478,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
2,lightgbm,LightGBM,0,0,net_profit_margin,0.008113029412925243,-0.0071660433895885944,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
3,lightgbm,LightGBM,0,0,debt_equity_ratio,0.006439993157982826,-0.002082475693896413,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
4,lightgbm,LightGBM,0,0,asset_turnover,0.00608557416126132,-0.0006811522762291133,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
5,lightgbm,LightGBM,0,0,operating_cashflow_ps,0.0051677655428647995,-0.00015493172395508736,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
6,lightgbm,LightGBM,0,0,ebit_margin,0.00463451212272048,-0.002361973049119115,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
7,lightgbm,LightGBM,0,0,operating_profit_margin,0.0042345840483903885,-0.0030781456734985113,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
8,lightgbm,LightGBM,0,0,gross_profit_margin,0.003908422309905291,0.0028756465762853622,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
9,lightgbm,LightGBM,0,0,roa,0.0030760669615119696,-0.000415984628489241,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
10,lightgbm,LightGBM,0,0,roe,0.0022316754329949617,-5.0895774620585144e-05,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
11,lightgbm,LightGBM,0,0,current_ratio,0.0017879727529361844,-0.00048527694889344275,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
12,lightgbm,LightGBM,0,0,free_cashflow_ps,0.001315878238528967,-0.0005005646380595863,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
1,lightgbm,LightGBM,1,1,pretax_profit_margin,0.22301600873470306,-0.1620630919933319,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
2,lightgbm,LightGBM,1,1,operating_profit_margin,0.20415963232517242,0.14163096249103546,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
3,lightgbm,LightGBM,1,1,current_ratio,0.10967478156089783,0.002788340672850609,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
4,lightgbm,LightGBM,1,1,debt_equity_ratio,0.10917212814092636,-0.04145163670182228,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
5,lightgbm,LightGBM,1,1,ebit_margin,0.0710095539689064,-0.03356785699725151,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
6,lightgbm,LightGBM,1,1,roa,0.056286636739969254,-0.030915847048163414,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
7,lightgbm,LightGBM,1,1,asset_turnover,0.05315469577908516,0.01231235172599554,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
8,lightgbm,LightGBM,1,1,operating_cashflow_ps,0.04047302529215813,0.009362651035189629,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
9,lightgbm,LightGBM,1,1,free_cashflow_ps,0.036405615508556366,-0.0028608639258891344,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
10,lightgbm,LightGBM,1,1,roe,0.027676450088620186,0.017703818157315254,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
11,lightgbm,LightGBM,1,1,net_profit_margin,0.017501110211014748,0.00031371103250421584,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
12,lightgbm,LightGBM,1,1,gross_profit_margin,0.01618320681154728,-0.0014006119454279542,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
1,lightgbm,LightGBM,2,2,pretax_profit_margin,0.2411702424287796,0.14253832399845123,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
2,lightgbm,LightGBM,2,2,operating_profit_margin,0.19076700508594513,-0.11050202697515488,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
3,lightgbm,LightGBM,2,2,debt_equity_ratio,0.10696565359830856,0.03444967791438103,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
4,lightgbm,LightGBM,2,2,current_ratio,0.09092238545417786,0.016233481466770172,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
5,lightgbm,LightGBM,2,2,ebit_margin,0.06640360504388809,0.02310752123594284,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
6,lightgbm,LightGBM,2,2,roa,0.04728461802005768,0.015709610655903816,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
7,lightgbm,LightGBM,2,2,asset_turnover,0.04283435270190239,-0.014482864178717136,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
8,lightgbm,LightGBM,2,2,roe,0.03664369508624077,-0.0276674572378397,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
9,lightgbm,LightGBM,2,2,operating_cashflow_ps,0.03651987761259079,-0.0026021634694188833,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
10,lightgbm,LightGBM,2,2,free_cashflow_ps,0.030459808185696602,-0.006194121669977903,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
11,lightgbm,LightGBM,2,2,gross_profit_margin,0.020503783598542213,-0.006061505060642958,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
12,lightgbm,LightGBM,2,2,net_profit_margin,0.018241973593831062,-0.0022371348459273577,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05525678594016749,0.836912362159025
