feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.1530077327042818,0.0098795490921475,1,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
operating_profit_margin,0.15243398724123836,-0.002592091215774417,2,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
debt_equity_ratio,0.0739005853344376,-0.0010522607238575195,3,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
current_ratio,0.05660669311570624,-0.00011518102837726474,4,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
roa,0.053394752476985254,-0.001613004404741029,5,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
ebit_margin,0.042440740236391626,-0.004401402353929977,6,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
asset_turnover,0.03671397171759357,0.0001396171379989634,7,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
operating_cashflow_ps,0.03336465820514908,0.0026200307248582058,8,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
gross_profit_margin,0.023572428966872394,-0.003457913175225258,9,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
free_cashflow_ps,0.022296114281440776,-0.0024743624671828,10,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
roe,0.01568083540769294,-0.002679142247264584,11,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
net_profit_margin,0.010955620634679994,-0.004250688090299566,12,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
