rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,patchtst,PatchTST,0,Distressed,operating_profit_margin,0.004095556680113077,0.002561973175033927,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
2,patchtst,PatchTST,0,Distressed,current_ratio,0.002680698176845908,-0.0005115196690894663,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
3,patchtst,PatchTST,0,Distressed,roa,0.0026374838780611753,-0.001615474815480411,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
4,patchtst,PatchTST,0,Distressed,pretax_profit_margin,0.0026250239461660385,-0.0008560128626413643,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
5,patchtst,PatchTST,0,Distressed,operating_cashflow_ps,0.00193409516941756,1.0752895462928791e-07,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
6,patchtst,PatchTST,0,Distressed,gross_profit_margin,0.0019260818371549249,-0.0006688982248306274,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
7,patchtst,PatchTST,0,Distressed,asset_turnover,0.0017141856951639056,-0.00031075041624717414,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
8,patchtst,PatchTST,0,Distressed,debt_equity_ratio,0.0014698206214234233,0.00016393042460549623,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
9,patchtst,PatchTST,0,Distressed,net_profit_margin,0.0009651959408074617,-0.0005263832863420248,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
10,patchtst,PatchTST,0,Distressed,free_cashflow_ps,0.000898364232853055,0.0001526266278233379,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
11,patchtst,PatchTST,0,Distressed,roe,0.0008329995325766504,0.0005741871427744627,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
12,patchtst,PatchTST,0,Distressed,ebit_margin,0.0008163540624082088,-9.184831287711859e-05,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
1,patchtst,PatchTST,1,HY,operating_profit_margin,0.22966144979000092,0.17557837069034576,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
2,patchtst,PatchTST,1,HY,pretax_profit_margin,0.20617522299289703,-0.1493782103061676,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
3,patchtst,PatchTST,1,HY,debt_equity_ratio,0.10650055855512619,-0.034722309559583664,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
4,patchtst,PatchTST,1,HY,current_ratio,0.08238590508699417,-0.021938437595963478,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
5,patchtst,PatchTST,1,HY,roa,0.08167699724435806,-0.040971044450998306,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
6,patchtst,PatchTST,1,HY,ebit_margin,0.06845434010028839,-0.04530581459403038,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
7,patchtst,PatchTST,1,HY,asset_turnover,0.05993016064167023,0.025256050750613213,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
8,patchtst,PatchTST,1,HY,operating_cashflow_ps,0.05398177728056908,0.004248614422976971,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
9,patchtst,PatchTST,1,HY,gross_profit_margin,0.038542911410331726,-0.026567572727799416,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
10,patchtst,PatchTST,1,HY,free_cashflow_ps,0.033962447196245193,0.015280968509614468,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
11,patchtst,PatchTST,1,HY,roe,0.024001313373446465,0.004997091367840767,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
12,patchtst,PatchTST,1,HY,net_profit_margin,0.017455099150538445,-0.012236136943101883,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
1,patchtst,PatchTST,2,IG,pretax_profit_margin,0.25022295117378235,0.17987287044525146,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
2,patchtst,PatchTST,2,IG,operating_profit_margin,0.22354495525360107,-0.18591661751270294,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
3,patchtst,PatchTST,2,IG,debt_equity_ratio,0.11373137682676315,0.03140159696340561,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
4,patchtst,PatchTST,2,IG,current_ratio,0.08475347608327866,0.02210441417992115,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
5,patchtst,PatchTST,2,IG,roa,0.07586977630853653,0.03774750605225563,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
6,patchtst,PatchTST,2,IG,ebit_margin,0.05805152654647827,0.03219345584511757,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
7,patchtst,PatchTST,2,IG,asset_turnover,0.04849756881594658,-0.024526448920369148,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
8,patchtst,PatchTST,2,IG,operating_cashflow_ps,0.04417810216546059,0.0036113702226430178,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
9,patchtst,PatchTST,2,IG,free_cashflow_ps,0.032027531415224075,-0.022856682538986206,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
10,patchtst,PatchTST,2,IG,gross_profit_margin,0.03024829365313053,0.01686273142695427,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
11,patchtst,PatchTST,2,IG,roe,0.022208193317055702,-0.013608705252408981,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
12,patchtst,PatchTST,2,IG,net_profit_margin,0.014446566812694073,1.0455958545207977e-05,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05731127563890842,0.8461984910040626
