feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
operating_profit_margin,0.17163659601161876,-0.004367760693033536,1,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
pretax_profit_margin,0.15678114785502353,0.00983677509551247,2,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
debt_equity_ratio,0.07711417103807132,-0.0017985937496026356,3,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
ebit_margin,0.058686711359769106,-0.003888580637673537,4,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
current_ratio,0.049711767584085464,0.002803345210850239,5,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
asset_turnover,0.03130958958839377,5.307778095205625e-05,6,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
operating_cashflow_ps,0.03127793331320087,0.0005463133566081524,7,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
roa,0.030569493615378935,-0.0013559511862695217,8,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
gross_profit_margin,0.025350092599789303,-0.0035423579053410017,9,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
net_profit_margin,0.02302044676616788,-0.0022710668854415417,10,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
roe,0.022690548561513424,-0.0023795372884099684,11,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
free_cashflow_ps,0.018615299408944946,-8.226988009596425e-05,12,patchtst,PatchTST,original_financial_sequence_mean,test_proba,test_proba
