feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.17948470101691782,0.0005597937076042095,1,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
operating_profit_margin,0.10164739657193422,0.008303715129538128,2,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
debt_equity_ratio,0.06515177810797468,-0.007351393976326411,3,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
current_ratio,0.05493008663567404,0.004870381274182971,4,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
net_profit_margin,0.0315639308343331,-0.009307678400849303,5,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
ebit_margin,0.029824071486170094,-0.0018232420770800672,6,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
asset_turnover,0.02292483936374386,-0.0004969719254101316,7,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
roe,0.022253405981852364,0.0027941629329385855,8,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
operating_cashflow_ps,0.021768663078546524,-0.000775342831426921,9,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
gross_profit_margin,0.020679907174780965,-0.0053906660177744925,10,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
roa,0.02040593574444453,-0.0003337222054445495,11,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
free_cashflow_ps,0.016675441215435665,-0.00276252391631715,12,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
