rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,tcn,TCN,0,Distressed,current_ratio,0.0031372494995594025,-0.00011489854659885168,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
2,tcn,TCN,0,Distressed,gross_profit_margin,0.003052850952371955,0.0015873686643317342,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
3,tcn,TCN,0,Distressed,pretax_profit_margin,0.0030504295136779547,-0.00017331149138044566,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
4,tcn,TCN,0,Distressed,asset_turnover,0.0026261338498443365,-0.0008731454727239907,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
5,tcn,TCN,0,Distressed,operating_cashflow_ps,0.002448897110298276,-0.0002150004729628563,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
6,tcn,TCN,0,Distressed,net_profit_margin,0.001596833928488195,0.0005430513410829008,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
7,tcn,TCN,0,Distressed,operating_profit_margin,0.001444949652068317,0.0005381309892982244,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
8,tcn,TCN,0,Distressed,ebit_margin,0.0013762470334768295,0.00038369427784346044,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
9,tcn,TCN,0,Distressed,free_cashflow_ps,0.001351699698716402,0.00016087295080069453,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
10,tcn,TCN,0,Distressed,roa,0.0013211192563176155,-0.0003150627890136093,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
11,tcn,TCN,0,Distressed,roe,0.0011991882929578424,0.0008120096172206104,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
12,tcn,TCN,0,Distressed,debt_equity_ratio,0.0009281299426220357,0.0003097851003985852,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
1,tcn,TCN,1,HY,pretax_profit_margin,0.2265651375055313,-0.1699424833059311,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
2,tcn,TCN,1,HY,operating_profit_margin,0.12342832237482071,0.08945789933204651,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
3,tcn,TCN,1,HY,debt_equity_ratio,0.0980287566781044,-0.050872813910245895,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
4,tcn,TCN,1,HY,current_ratio,0.0716937854886055,-0.012857667170464993,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
5,tcn,TCN,1,HY,net_profit_margin,0.041354283690452576,-0.01724538765847683,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
6,tcn,TCN,1,HY,roa,0.03787177428603172,-0.02023739367723465,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
7,tcn,TCN,1,HY,operating_cashflow_ps,0.03602626919746399,-0.003016845555976033,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
8,tcn,TCN,1,HY,roe,0.030729399994015694,0.023153141140937805,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
9,tcn,TCN,1,HY,gross_profit_margin,0.030231960117816925,-0.026826830580830574,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
10,tcn,TCN,1,HY,asset_turnover,0.02814391255378723,0.014909499324858189,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
11,tcn,TCN,1,HY,ebit_margin,0.0236163642257452,0.014577902853488922,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
12,tcn,TCN,1,HY,free_cashflow_ps,0.02352484129369259,0.007842288352549076,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
1,tcn,TCN,2,IG,pretax_profit_margin,0.20024670660495758,0.12870651483535767,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
2,tcn,TCN,2,IG,operating_profit_margin,0.10184525698423386,-0.056780118495225906,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
3,tcn,TCN,2,IG,debt_equity_ratio,0.10151734203100204,0.027833880856633186,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
4,tcn,TCN,2,IG,current_ratio,0.0815938413143158,0.024198541417717934,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
5,tcn,TCN,2,IG,net_profit_margin,0.0371425598859787,0.0009079442243091762,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
6,tcn,TCN,2,IG,roa,0.03453197330236435,0.014427237212657928,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
7,tcn,TCN,2,IG,operating_cashflow_ps,0.03326990827918053,0.0037464071065187454,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
8,tcn,TCN,2,IG,roe,0.030472589656710625,-0.026180313900113106,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
9,tcn,TCN,2,IG,asset_turnover,0.02600267343223095,-0.01621929742395878,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
10,tcn,TCN,2,IG,free_cashflow_ps,0.025743810459971428,-0.016346052289009094,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
11,tcn,TCN,2,IG,ebit_margin,0.02522667683660984,-0.016567442566156387,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
12,tcn,TCN,2,IG,gross_profit_margin,0.021697694435715675,0.013660665601491928,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.06147378357493075,0.8473592571096924
