feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.16119926050305367,-0.01111239722619454,1,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
operating_profit_margin,0.08504846164335807,0.00811266154050827,2,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
debt_equity_ratio,0.06943253303567569,-0.004760183393955231,3,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
current_ratio,0.05095458791280786,0.0026179394917562604,4,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
ebit_margin,0.03176618367433548,0.0016622265490392845,5,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
asset_turnover,0.03163577150553465,0.0003428050937751929,6,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
net_profit_margin,0.029505880394329626,-0.0049817288139214115,7,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
roa,0.027950923889875412,-0.0011801673875500758,8,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
roe,0.023864648460100096,-0.0019079716876149178,9,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
gross_profit_margin,0.019878864210719865,-0.0015701041653907548,10,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
free_cashflow_ps,0.018958008848130703,-0.0023350752890110016,11,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
operating_cashflow_ps,0.015599918629353246,0.0012898508478732158,12,tcn,TCN,original_financial_sequence_mean,test_proba,test_proba
