rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,tcn,TCN,0,0,pretax_profit_margin,0.0174570195376873,0.012997015379369259,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
2,tcn,TCN,0,0,asset_turnover,0.014101148582994938,-0.006851499434560537,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
3,tcn,TCN,0,0,operating_profit_margin,0.011846057139337063,-0.01107911765575409,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
4,tcn,TCN,0,0,free_cashflow_ps,0.010896355845034122,0.002292185788974166,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
5,tcn,TCN,0,0,ebit_margin,0.008711464703083038,-0.007750529330223799,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
6,tcn,TCN,0,0,debt_equity_ratio,0.008670542389154434,-0.007355142384767532,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
7,tcn,TCN,0,0,roe,0.006987737026065588,0.002918015234172344,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
8,tcn,TCN,0,0,current_ratio,0.0067388867028057575,0.0013604018604382873,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
9,tcn,TCN,0,0,roa,0.00426381453871727,-0.003133292542770505,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
10,tcn,TCN,0,0,net_profit_margin,0.004066576715558767,-0.0015596309676766396,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
11,tcn,TCN,0,0,operating_cashflow_ps,0.0032881416846066713,0.0002966390748042613,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
12,tcn,TCN,0,0,gross_profit_margin,0.001195054268464446,-0.0003376282111275941,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
1,tcn,TCN,1,1,pretax_profit_margin,0.2454167604446411,-0.17693985998630524,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
2,tcn,TCN,1,1,operating_profit_margin,0.13269339501857758,0.08828359097242355,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
3,tcn,TCN,1,1,debt_equity_ratio,0.09490703791379929,-0.04197295010089874,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
4,tcn,TCN,1,1,current_ratio,0.06682432442903519,-0.007442794740200043,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
5,tcn,TCN,1,1,asset_turnover,0.04709899425506592,0.03014078177511692,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
6,tcn,TCN,1,1,net_profit_margin,0.04568051919341087,-0.010011783801019192,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
7,tcn,TCN,1,1,ebit_margin,0.04023934528231621,0.03693108633160591,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
8,tcn,TCN,1,1,roa,0.03797168657183647,-0.025265922769904137,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
9,tcn,TCN,1,1,roe,0.03435123339295387,0.021120218560099602,original_financial_sequence_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.05167219849374914,0.8485200232153222
