sample_rank,sample_index,ticker,y_true,y_pred,pred_prob,target_class_explained,feature_flat,feature_value,shap_value,abs_shap_value,last_y_context,sector_id
8,92,WBT,1,1,0.5451281070709229,1,t-0__debt_equity_ratio,-1.3680533170700073,-0.029654380491553622,0.029654380491553622,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__roa,1.1121855974197388,-0.01888354352166263,0.01888354352166263,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__free_cashflow_ps,-0.16881170868873596,0.017935314491819673,0.017935314491819673,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__asset_turnover,0.40830090641975403,0.01298202443253298,0.01298202443253298,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__net_profit_margin,0.4513580799102783,-0.010366260589916854,0.010366260589916854,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__roa_delta,0.0,0.008168771327045634,0.008168771327045634,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__roe,0.18849118053913116,-0.006155456685754512,0.006155456685754512,1,1
8,92,WBT,1,1,0.5451281070709229,1,t-0__operating_profit_margin,-0.13679590821266174,0.005738619448024875,0.005738619448024875,1,1
6,72,PTC,1,1,0.6481919288635254,1,t-0__roa,-0.5887728333473206,0.03214244215344892,0.03214244215344892,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__roe,-0.25894397497177124,0.019333734915178466,0.019333734915178466,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__operating_profit_margin,-0.8462576270103455,-0.01856596850111018,0.01856596850111018,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__net_profit_margin,-0.32428207993507385,0.015459645969180546,0.015459645969180546,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__free_cashflow_ps,-0.5500319004058838,0.013482277232974996,0.013482277232974996,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__ebit_margin,-0.8566718101501465,-0.011187036695671854,0.011187036695671854,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__asset_turnover_delta,0.0,0.0048473177388625175,0.0048473177388625175,1,2
6,72,PTC,1,1,0.6481919288635254,1,t-0__net_profit_margin_delta,0.0,0.004779428972879652,0.004779428972879652,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__pretax_profit_margin,-0.8975850939750671,-0.03272617676790861,0.03272617676790861,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__roa,-1.7628072500228882,0.017360317423453238,0.017360317423453238,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__current_ratio,-1.4632508754730225,0.012250148009687982,0.012250148009687982,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__ebit_margin,-1.3372583389282227,-0.010598154162877692,0.010598154162877692,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__roe,-0.19486519694328308,0.010224343362721287,0.010224343362721287,1,2
7,62,MDCA,1,1,0.578267514705658,1,t-0__roe_delta,0.0,0.008882383775512183,0.008882383775512183,1,2
