split,row_id,model_row_id,test_index,xai_test_index,xai_shared_sample_id,ticker,company_name,rating_date,true_label,true_label_name,pred_label,pred_label_name,confidence,last_y_context,explained_class_id,explained_class_name,explained_class_model_probability,explained_class_lime_prediction_probability,lime_probability_source,lime_rule,lime_weight_for_explained_class,direction,rank,html_path,lime_instance_plot_path
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,current_ratio > 0.34,0.018342560359755553,supports_explained_class,1,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,asset_turnover > 0.20,-0.011631737869890095,opposes_explained_class,2,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,roe > 0.07,-0.009954961390715897,opposes_explained_class,3,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,roa > 0.26,-0.00763916561691382,opposes_explained_class,4,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,gross_profit_margin <= -0.51,-0.006886330049544978,opposes_explained_class,5,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,-0.25 < net_profit_margin <= 0.21,-0.006723743669529455,opposes_explained_class,6,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,-0.24 < operating_profit_margin <= 0.24,-0.00636080651216899,opposes_explained_class,7,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,0.05 < debt_equity_ratio <= 0.17,-0.0038643182985332093,opposes_explained_class,8,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,-0.30 < pretax_profit_margin <= 0.24,0.0033490987633823014,supports_explained_class,9,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
test,10376,10376,518,518,test_idx_000518|EMN|2013-09-05,EMN,EASTMAN CHEMICAL COMPANY,2013-09-05,2,2,2,2,0.9998186654245957,2,0,0,6.5364010402716945e-06,6.5364010402716945e-06,direct Transformer-LSTM,0.06 < operating_cashflow_ps <= 0.39,0.002659936298486344,supports_explained_class,10,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518.html,/kaggle/working/credit_rating_artifacts/tlstm_financial_lime_test_idx_518_all_classes_plot.png
