Metric,BestValue,BestEpoch
Train Monitor Loss,0.09838475774200649,100
Val Monitor Loss,0.23318002455764347,73
Train Accuracy,0.9638526652939831,88
Val Accuracy,0.9222737819025522,91
Val Macro_F1,0.7505419225385143,94
Val ChgAcc,0.5074626865671642,86
Final Monitor Loss Gap,0.13798405035999417,100
Final ValMonitorLoss Drift,0.003188783544357171,100
TrainMonitorLoss Last10 Mean,0.09880375411686296,100
TrainMonitorLoss Last10 Std,0.0002766258812380424,100
ValMonitorLoss Last10 Mean,0.2368408782718082,100
ValMonitorLoss Last10 Std,0.00031581366620646783,100
