feature,mean_abs_shap
delta_days_delta,0.001070156456153945
delta_days,0.0010266079815028713
roa,0.0006965993936328689
current_ratio_delta,0.0006179531813338574
ebit_margin_delta,0.0005497682419054174
current_ratio,0.00040282609511975453
gross_profit_margin_delta,0.00037831470822319757
pretax_profit_margin,0.00035410506373642327
gross_profit_margin,0.00033928929538953575
free_cashflow_ps_delta,0.00028585695056730534
operating_profit_margin,0.0002818352627422183
asset_turnover,0.0001984075530733869
debt_equity_ratio_delta,0.00016094526807443639
ebit_margin,0.00013955974919213683
net_profit_margin_delta,0.00012319044932813554
asset_turnover_delta,0.00011929227578602976
pretax_profit_margin_delta,0.00011602500015394104
roe,0.0001139981285698359
debt_equity_ratio,8.643141479588317e-05
roa_delta,8.144230304503759e-05
operating_cashflow_ps_delta,4.4018264820716284e-05
operating_profit_margin_delta,3.897836629992613e-05
roe_delta,1.774174290090038e-05
free_cashflow_ps,1.4871679324475945e-05
net_profit_margin,5.683051607193746e-06
operating_cashflow_ps,0.0
