Metric,BestValue,BestEpoch
Train Monitor Loss,0.16724947549491412,100
Val Monitor Loss,0.22323533913327587,100
Train Accuracy,0.940786200033173,97
Val Accuracy,0.9245939675174014,87
Val Macro_F1,0.8017302733367716,87
Val ChgAcc,0.4626865671641791,3
Final Monitor Loss Gap,0.05598586363836175,100
Final ValMonitorLoss Drift,0.0,100
TrainMonitorLoss Last10 Mean,0.17223758231848477,100
TrainMonitorLoss Last10 Std,0.003935667380241376,100
ValMonitorLoss Last10 Mean,0.2264061985951331,100
ValMonitorLoss Last10 Std,0.002231422102907317,100
