feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.17780949951459965,-0.0008484182180836797,1,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
operating_profit_margin,0.14387335876623789,-0.00011354583936432998,2,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
current_ratio,0.0630989686275522,-0.0016760231616596382,3,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
roa,0.05989257494608561,-0.007898573453227678,4,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
debt_equity_ratio,0.05656127554054061,-0.004439090145751834,5,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
asset_turnover,0.04507668704415361,5.543635537226995e-05,6,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
operating_cashflow_ps,0.03463377306858698,-0.0025287407382469005,7,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
gross_profit_margin,0.03387616854161024,-0.0036751809626972922,8,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
free_cashflow_ps,0.021781017382939655,0.003223528852686286,9,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
ebit_margin,0.01863736690332492,0.003680525037149588,10,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
net_profit_margin,0.017134045405934255,-0.0033311957182983556,11,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
roe,0.012163802205274502,3.139602874095241e-05,12,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
