rank,model_key,model_label,class_id,class_name,feature,mean_abs_gradientshap,mean_signed_gradientshap,feature_source,probability_source,gradientshap_method,xai_method,xai_probability_source,proxy_mse,proxy_argmax_agreement
1,xgboost,XGBoost,0,Distressed,roa,0.01481752097606659,-0.008489483036100864,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
2,xgboost,XGBoost,0,Distressed,pretax_profit_margin,0.014153205789625645,-0.0011628888314589858,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
3,xgboost,XGBoost,0,Distressed,current_ratio,0.012854469008743763,-0.005227836314588785,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
4,xgboost,XGBoost,0,Distressed,ebit_margin,0.008829549886286259,0.007991314865648746,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
5,xgboost,XGBoost,0,Distressed,operating_profit_margin,0.008009567856788635,-0.0010217546951025724,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
6,xgboost,XGBoost,0,Distressed,debt_equity_ratio,0.007697743829339743,-0.003507108660414815,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
7,xgboost,XGBoost,0,Distressed,operating_cashflow_ps,0.007588472217321396,-0.00258267973549664,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
8,xgboost,XGBoost,0,Distressed,asset_turnover,0.006810952443629503,-0.0035317828878760338,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
9,xgboost,XGBoost,0,Distressed,free_cashflow_ps,0.005365300923585892,0.0029027678538113832,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
10,xgboost,XGBoost,0,Distressed,net_profit_margin,0.004811184015125036,-0.003919505979865789,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
11,xgboost,XGBoost,0,Distressed,roe,0.0039612543769180775,0.0007858729804866016,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
12,xgboost,XGBoost,0,Distressed,gross_profit_margin,0.0031165005639195442,-0.0003858213603962213,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
1,xgboost,XGBoost,1,HY,pretax_profit_margin,0.24608208239078522,-0.17459960281848907,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
2,xgboost,XGBoost,1,HY,operating_profit_margin,0.20120978355407715,0.16938836872577667,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
3,xgboost,XGBoost,1,HY,current_ratio,0.08615466207265854,-0.017905734479427338,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
4,xgboost,XGBoost,1,HY,debt_equity_ratio,0.08058003336191177,-0.02244190312922001,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
5,xgboost,XGBoost,1,HY,roa,0.07959212362766266,-0.026686301454901695,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
6,xgboost,XGBoost,1,HY,asset_turnover,0.07345310598611832,0.0076078022830188274,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
7,xgboost,XGBoost,1,HY,gross_profit_margin,0.05377635359764099,-0.040291041135787964,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
8,xgboost,XGBoost,1,HY,operating_cashflow_ps,0.03854527696967125,0.0001604507415322587,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
9,xgboost,XGBoost,1,HY,free_cashflow_ps,0.03303195908665657,0.02492765337228775,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
10,xgboost,XGBoost,1,HY,net_profit_margin,0.023800013586878777,-0.01153635885566473,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
11,xgboost,XGBoost,1,HY,ebit_margin,0.02184232883155346,-0.010810774751007557,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
12,xgboost,XGBoost,1,HY,roe,0.015405370853841305,0.015282887034118176,original_financial_tabular_window_mean,test_proba,expected_gradients_fallback: ModuleNotFoundError,expected_gradients_fallback,test_proba,0.047014250854399545,0.8479396401625072
