feature,mean_abs_shap_value,mean_signed_shap_value,rank,model_key,model_label,feature_source,probability_source,xai_probability_source
pretax_profit_margin,0.11903061717748642,0.0005551228920618693,1,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
operating_profit_margin,0.08292739403744538,0.001837357257803281,2,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
debt_equity_ratio,0.07771745153392355,-0.0026855929754674435,3,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
current_ratio,0.06230813877967497,0.003712971209703634,4,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
operating_cashflow_ps,0.03568350158942243,0.003280169446952641,5,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
roa,0.029466283197204273,-0.002546205883845687,6,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
asset_turnover,0.028503325146933396,-0.0009208323123554388,7,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
free_cashflow_ps,0.0239471229724586,0.0011102928159137566,8,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
roe,0.02379468091142674,-0.002937535629219686,9,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
net_profit_margin,0.023192000730584066,-0.004014714543397228,10,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
ebit_margin,0.022589375264942646,-0.0030515162895123162,11,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
gross_profit_margin,0.01999890330868463,0.0007299041608348489,12,xgboost,XGBoost,original_financial_tabular_window_mean,test_proba,test_proba
