model_order,model,class_name,auc,curve_source,source_path
1,LightGBM,Distressed,0.95,png_digitized,artifacts\LightGBM\lightgbm_test_roc_curves.png
1,LightGBM,HY,0.96,png_digitized,artifacts\LightGBM\lightgbm_test_roc_curves.png
1,LightGBM,IG,0.97,png_digitized,artifacts\LightGBM\lightgbm_test_roc_curves.png
2,XGBoost,Distressed,0.96,png_digitized,artifacts\XGBoost\xgboost_test_roc_curves.png
2,XGBoost,HY,0.96,png_digitized,artifacts\XGBoost\xgboost_test_roc_curves.png
2,XGBoost,IG,0.97,png_digitized,artifacts\XGBoost\xgboost_test_roc_curves.png
3,TCN,Distressed,0.95,png_digitized,artifacts\TCN_Baseline\tcn_test_roc_curves.png
3,TCN,HY,0.94,png_digitized,artifacts\TCN_Baseline\tcn_test_roc_curves.png
3,TCN,IG,0.96,png_digitized,artifacts\TCN_Baseline\tcn_test_roc_curves.png
4,LSTM,Distressed,0.95,png_digitized,artifacts\LSTM\lstm_test_roc_curves.png
4,LSTM,HY,0.95,png_digitized,artifacts\LSTM\lstm_test_roc_curves.png
4,LSTM,IG,0.96,png_digitized,artifacts\LSTM\lstm_test_roc_curves.png
5,PatchTST,Distressed,0.94,png_digitized,artifacts\Patchtst\patchtst_test_roc_curves.png
5,PatchTST,HY,0.95,png_digitized,artifacts\Patchtst\patchtst_test_roc_curves.png
5,PatchTST,IG,0.96,png_digitized,artifacts\Patchtst\patchtst_test_roc_curves.png
6,T-LSTM,Distressed,0.9517295469361148,csv_exact,artifacts\TLSTM\credit_rating_artifacts\transformer_lstm_test_roc_curve_points.csv
6,T-LSTM,HY,0.9697668271151848,csv_exact,artifacts\TLSTM\credit_rating_artifacts\transformer_lstm_test_roc_curve_points.csv
6,T-LSTM,IG,0.9875587576330008,csv_exact,artifacts\TLSTM\credit_rating_artifacts\transformer_lstm_test_roc_curve_points.csv
7,GraphSAGE,Distressed,0.9,png_digitized,artifacts\GAT\gat_test_roc_curves.png
7,GraphSAGE,HY,0.93,png_digitized,artifacts\GAT\gat_test_roc_curves.png
