model,class_name,auc,curve_source,source_path
LightGBM,Distressed,0.950000,png_digitized,artifacts\LightGBM\lightgbm_test_roc_curves.png
LightGBM,HY,0.960000,png_digitized,artifacts\LightGBM\lightgbm_test_roc_curves.png
LightGBM,IG,0.970000,png_digitized,artifacts\LightGBM\lightgbm_test_roc_curves.png
XGBoost,Distressed,0.960000,png_digitized,artifacts\XGBoost\xgboost_test_roc_curves.png
XGBoost,HY,0.960000,png_digitized,artifacts\XGBoost\xgboost_test_roc_curves.png
XGBoost,IG,0.970000,png_digitized,artifacts\XGBoost\xgboost_test_roc_curves.png
TCN,Distressed,0.950000,png_digitized,artifacts\TCN_Baseline\tcn_test_roc_curves.png
TCN,HY,0.940000,png_digitized,artifacts\TCN_Baseline\tcn_test_roc_curves.png
TCN,IG,0.960000,png_digitized,artifacts\TCN_Baseline\tcn_test_roc_curves.png
LSTM,Distressed,0.950000,png_digitized,artifacts\LSTM\lstm_test_roc_curves.png
LSTM,HY,0.950000,png_digitized,artifacts\LSTM\lstm_test_roc_curves.png
LSTM,IG,0.960000,png_digitized,artifacts\LSTM\lstm_test_roc_curves.png
PatchTST,Distressed,0.940000,png_digitized,artifacts\Patchtst\patchtst_test_roc_curves.png
PatchTST,HY,0.950000,png_digitized,artifacts\Patchtst\patchtst_test_roc_curves.png
PatchTST,IG,0.960000,png_digitized,artifacts\Patchtst\patchtst_test_roc_curves.png
GraphSAGE,Distressed,0.900000,png_digitized,artifacts\GAT\gat_test_roc_curves.png
GraphSAGE,HY,0.930000,png_digitized,artifacts\GAT\gat_test_roc_curves.png
GraphSAGE,IG,0.960000,png_digitized,artifacts\GAT\gat_test_roc_curves.png
FI-TTX,Distressed,0.959000,png_digitized,artifacts\KB7\fi_ttx_roc.png
FI-TTX,HY,0.974000,png_digitized,artifacts\KB7\fi_ttx_roc.png
FI-TTX,IG,0.987000,png_digitized,artifacts\KB7\fi_ttx_roc.png
FI-PLL,Distressed,0.956000,png_digitized,artifacts\KB8\credit_rating_artifacts\fi_pll_roc.png
FI-PLL,HY,0.958000,png_digitized,artifacts\KB8\credit_rating_artifacts\fi_pll_roc.png
FI-PLL,IG,0.972000,png_digitized,artifacts\KB8\credit_rating_artifacts\fi_pll_roc.png
FI-TTLPXL,Distressed,0.959000,png_digitized,artifacts\KB9\credit_rating_artifacts\fi_ttlpxl_roc.png
FI-TTLPXL,HY,0.973000,png_digitized,artifacts\KB9\credit_rating_artifacts\fi_ttlpxl_roc.png
FI-TTLPXL,IG,0.986000,png_digitized,artifacts\KB9\credit_rating_artifacts\fi_ttlpxl_roc.png
FR-TTX,Distressed,0.961000,png_digitized,artifacts\KB10\credit_rating_artifacts\fr_ttx_roc.png
FR-TTX,HY,0.972000,png_digitized,artifacts\KB10\credit_rating_artifacts\fr_ttx_roc.png
FR-TTX,IG,0.985000,png_digitized,artifacts\KB10\credit_rating_artifacts\fr_ttx_roc.png
FR-PLL,Distressed,0.955000,png_digitized,artifacts\KB11\credit_rating_artifacts\fr_pll_roc.png
FR-PLL,HY,0.958000,png_digitized,artifacts\KB11\credit_rating_artifacts\fr_pll_roc.png
FR-PLL,IG,0.971000,png_digitized,artifacts\KB11\credit_rating_artifacts\fr_pll_roc.png
FR-TTLPXL,Distressed,0.960000,png_digitized,artifacts\KB12\credit_rating_artifacts\fr_ttlpxl_roc.png
FR-TTLPXL,HY,0.970000,png_digitized,artifacts\KB12\credit_rating_artifacts\fr_ttlpxl_roc.png
FR-TTLPXL,IG,0.983000,png_digitized,artifacts\KB12\credit_rating_artifacts\fr_ttlpxl_roc.png
T-LSTM,Distressed,0.951730,csv_exact,artifacts\TLSTM\transformer_lstm_test_roc_curve_points.csv
T-LSTM,HY,0.969767,csv_exact,artifacts\TLSTM\transformer_lstm_test_roc_curve_points.csv
T-LSTM,IG,0.987559,csv_exact,artifacts\TLSTM\transformer_lstm_test_roc_curve_points.csv
DMF,Distressed,0.917149,csv_exact,artifacts\DMF\credit_rating_artifacts\dmf_gat_tlstm\dmf_dcs_test_roc_curve_points.csv
DMF,HY,0.955748,csv_exact,artifacts\DMF\credit_rating_artifacts\dmf_gat_tlstm\dmf_dcs_test_roc_curve_points.csv
DMF,IG,0.974060,csv_exact,artifacts\DMF\credit_rating_artifacts\dmf_gat_tlstm\dmf_dcs_test_roc_curve_points.csv
