scenario_order,scenario,class_name,f1_score,f1_score_percent,source,notebook,cell
1,LightGBM,Distressed,0.566,56.6,classification_report,lightgbm-baseline.ipynb,12
1,LightGBM,HY,0.8797,87.97,classification_report,lightgbm-baseline.ipynb,12
1,LightGBM,IG,0.9577,95.77,classification_report,lightgbm-baseline.ipynb,12
2,XGBoost,Distressed,0.5524,55.24,classification_report,xgboost-baseline.ipynb,12
2,XGBoost,HY,0.8809,88.09,classification_report,xgboost-baseline.ipynb,12
2,XGBoost,IG,0.9586,95.86,classification_report,xgboost-baseline.ipynb,12
3,TCN,Distressed,0.5098,50.98,classification_report,tcn-baseline.ipynb,7
3,TCN,HY,0.8794,87.94,classification_report,tcn-baseline.ipynb,7
3,TCN,IG,0.9591,95.91,classification_report,tcn-baseline.ipynb,7
4,LSTM,Distressed,0.551,55.1,classification_report,lstm-baseline.ipynb,9
4,LSTM,HY,0.8836,88.36,classification_report,lstm-baseline.ipynb,9
4,LSTM,IG,0.9587,95.87,classification_report,lstm-baseline.ipynb,9
5,PatchTST,Distressed,0.3,30.0,classification_report,patchtst-baseline.ipynb,14
5,PatchTST,HY,0.8761,87.61,classification_report,patchtst-baseline.ipynb,14
5,PatchTST,IG,0.9555,95.55,classification_report,patchtst-baseline.ipynb,14
6,T-LSTM,Distressed,0.433,43.3,classification_report,transformer-lstm.ipynb,34
6,T-LSTM,HY,0.8899,88.99,classification_report,transformer-lstm.ipynb,34
6,T-LSTM,IG,0.9648,96.48,classification_report,transformer-lstm.ipynb,34
7,GraphSAGE,Distressed,0.6325,63.25,classification_report,GraphSAGE-baseline.ipynb,9
7,GraphSAGE,HY,0.8843,88.43,classification_report,GraphSAGE-baseline.ipynb,9
7,GraphSAGE,IG,0.9587,95.87,classification_report,GraphSAGE-baseline.ipynb,9
8,FI-TTX,Distressed,0.4731,47.31,classification_report,kb7-fi-ttx.ipynb,14
8,FI-TTX,HY,0.8869,88.69,classification_report,kb7-fi-ttx.ipynb,14
8,FI-TTX,IG,0.9638,96.38,classification_report,kb7-fi-ttx.ipynb,14
9,FI-PLL,Distressed,0.5631,56.31,classification_report,kb8-fi-pll.ipynb,14
9,FI-PLL,HY,0.8852,88.52,classification_report,kb8-fi-pll.ipynb,14
9,FI-PLL,IG,0.96,96.0,classification_report,kb8-fi-pll.ipynb,14
10,FI-TTLPXL,Distressed,0.4348,43.48,classification_report,kb9-fi-ttlpxl.ipynb,14
10,FI-TTLPXL,HY,0.8815,88.15,classification_report,kb9-fi-ttlpxl.ipynb,14
10,FI-TTLPXL,IG,0.9625,96.25,classification_report,kb9-fi-ttlpxl.ipynb,14
11,FR-TTX,Distressed,0.5106,51.06,classification_report,kb10-fr-ttx.ipynb,13
11,FR-TTX,HY,0.8844,88.44,classification_report,kb10-fr-ttx.ipynb,13
11,FR-TTX,IG,0.9605,96.05,classification_report,kb10-fr-ttx.ipynb,13
12,FR-PLL,Distressed,0.5686,56.86,classification_report,kb11-fr-pll.ipynb,13
12,FR-PLL,HY,0.8862,88.62,classification_report,kb11-fr-pll.ipynb,13
12,FR-PLL,IG,0.96,96.0,classification_report,kb11-fr-pll.ipynb,13
13,FR-TTLPXL,Distressed,0.58,58.0,classification_report,kb12-fr-ttlpxl.ipynb,13
13,FR-TTLPXL,HY,0.8864,88.64,classification_report,kb12-fr-ttlpxl.ipynb,13
13,FR-TTLPXL,IG,0.96,96.0,classification_report,kb12-fr-ttlpxl.ipynb,13
14,DMF-LG,Distressed,0.48479999999999995,48.48,user_provided,,
14,DMF-LG,HY,0.8774,87.74,user_provided,,
14,DMF-LG,IG,0.9587,95.87,user_provided,,
15,DMF-LT,Distressed,0.39020000000000005,39.02,user_provided,,
15,DMF-LT,HY,0.887,88.7,user_provided,,
15,DMF-LT,IG,0.963,96.3,user_provided,,
16,DMF-TG,Distressed,0.4773,47.73,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
16,DMF-TG,HY,0.8947,89.47,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
16,DMF-TG,IG,0.9657,96.57,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
17,DMF-LTG,Distressed,0.39020000000000005,39.02,user_provided,,
17,DMF-LTG,HY,0.887,88.7,user_provided,,
17,DMF-LTG,IG,0.963,96.3,user_provided,,
