Kịch bản,Tên kịch bản,Phương pháp,Source,Accuracy,Precision,Recall,F1-Score,AUC
KB1,T-BiLSTM,,artifacts/TLSTM/credit_rating_artifacts/transformer_metrics.csv; notebook classification report is rounded,0.9251305861868834,0.9209800523754244,0.9251305861868834,0.9222594171823576,0.9805595628619184
KB2,TCN,,artifacts/TCN_Baseline/credit_rating_artifacts/tcn_test_classification_report.csv,0.9193267556587348,0.9175586571360664,0.9193267556587348,0.9178421751225684,0.9533908544040796
KB3,LSTM,,artifacts/LSTM/credit_rating_artifacts/lstm_test_classification_report.csv + lstm_metrics.csv AUC,0.922228670922809,0.9205064124293486,0.922228670922809,0.9204071591208632,0.9533034661195652
KB4,PatchTST,,artifacts/Patchtst/credit_rating_artifacts/patchtst_test_classification_report.csv + patchtst_metrics.csv AUC,0.9135229251305862,0.9079060861632452,0.9135229251305862,0.9073087290061844,0.9484985916018092
KB5,XGBoost,,artifacts/XGBoost/credit_rating_artifacts/xgboost_test_classification_report.csv,0.9204875217643644,0.9193771148303872,0.9204875217643644,0.9194961953210752,0.9646821175270764
KB6,LightGBM,,artifacts/LightGBM/credit_rating_artifacts/lightgbm_test_classification_report.csv,0.9199071387115496,0.9188479563463277,0.9199071387115496,0.9190185928764512,0.9656378713856985
KB7,FI-TTX,Fuzzy Choquet Integral,notebooks/kb7-fi-ttx.ipynb output: Classification Report + completion table,0.925131,0.9218,0.9251,0.9221,0.973304
KB8,FI-PLL,Fuzzy Choquet Integral,notebooks/kb8-fi-pll.ipynb output: Classification Report + completion table,0.923389,0.922,0.9234,0.9222,0.962025
KB9,FI-TTLPXL,Fuzzy Choquet Integral,notebooks/kb9-fi-ttlpxl.ipynb output: Classification Report fallback,0.921648,0.9175,0.9216,0.9182,0.972421
KB10,FR-TTX,Gompertz Fuzzy Ranking Ensemble,notebooks/kb10-fr-ttx.ipynb output: Classification Report + completion table,0.922809,0.9209,0.9228,0.9204,0.97268
KB11,FR-PLL,Gompertz Fuzzy Ranking Ensemble,notebooks/kb11-fr-pll.ipynb output: Classification Report + completion table,0.92397,0.9226,0.924,0.9227,0.96103
KB12,FR-TTLPXL,Gompertz Fuzzy Ranking Ensemble,notebooks/kb12-fr-ttlpxl.ipynb output: Classification Report + completion table,0.92455,0.9233,0.9246,0.9231,0.971125
KB13,GAT,,artifacts/GAT/credit_rating_artifacts/gat_test_classification_report.csv + gat_metrics.csv AUC,0.9233894370284388,0.923484968301122,0.9233894370284388,0.923424283112033,0.930629442132104
KB14,DMF,Dynamic Model Fusion (DMF),notebooks/dynamic-model-fusion.ipynb output: DMF/DCS proposed + classification report,0.929774,0.926706,0.929774,0.925974,0.948986
