scenario_order,scenario,class_name,precision,precision_percent,source,notebook,cell
1,LightGBM,Distressed,0.6383,63.83,classification_report,lightgbm-baseline.ipynb,12
1,LightGBM,HY,0.8638,86.38,classification_report,lightgbm-baseline.ipynb,12
1,LightGBM,IG,0.9617,96.17,classification_report,lightgbm-baseline.ipynb,12
2,XGBoost,Distressed,0.6304,63.04,classification_report,xgboost-baseline.ipynb,12
2,XGBoost,HY,0.8628,86.28,classification_report,xgboost-baseline.ipynb,12
2,XGBoost,IG,0.9634,96.34,classification_report,xgboost-baseline.ipynb,12
3,TCN,Distressed,0.6047,60.47,classification_report,tcn-baseline.ipynb,7
3,TCN,HY,0.8598,85.98,classification_report,tcn-baseline.ipynb,7
3,TCN,IG,0.9635,96.35,classification_report,tcn-baseline.ipynb,7
4,LSTM,Distressed,0.6923,69.23,classification_report,lstm-baseline.ipynb,9
4,LSTM,HY,0.8647,86.47,classification_report,lstm-baseline.ipynb,9
4,LSTM,IG,0.9609,96.09,classification_report,lstm-baseline.ipynb,9
5,PatchTST,Distressed,0.5714,57.14,classification_report,patchtst-baseline.ipynb,14
5,PatchTST,HY,0.8441,84.41,classification_report,patchtst-baseline.ipynb,14
5,PatchTST,IG,0.9581,95.81,classification_report,patchtst-baseline.ipynb,14
6,T-LSTM,Distressed,0.5526,55.26,classification_report,transformer-lstm.ipynb,34
6,T-LSTM,HY,0.8767,87.67,classification_report,transformer-lstm.ipynb,34
6,T-LSTM,IG,0.9630,96.30,classification_report,transformer-lstm.ipynb,34
7,GraphSAGE,Distressed,0.6379,63.79,classification_report,GraphSAGE-baseline.ipynb,9
7,GraphSAGE,HY,0.8796,87.96,classification_report,GraphSAGE-baseline.ipynb,9
7,GraphSAGE,IG,0.9609,96.09,classification_report,GraphSAGE-baseline.ipynb,9
8,FI-TTX,Distressed,0.6471,64.71,classification_report,kb7-fi-ttx.ipynb,14
8,FI-TTX,HY,0.8694,86.94,classification_report,kb7-fi-ttx.ipynb,14
8,FI-TTX,IG,0.9630,96.30,classification_report,kb7-fi-ttx.ipynb,14
9,FI-PLL,Distressed,0.6591,65.91,classification_report,kb8-fi-pll.ipynb,14
9,FI-PLL,HY,0.8677,86.77,classification_report,kb8-fi-pll.ipynb,14
9,FI-PLL,IG,0.9635,96.35,classification_report,kb8-fi-pll.ipynb,14
10,FI-TTLPXL,Distressed,0.6061,60.61,classification_report,kb9-fi-ttlpxl.ipynb,14
10,FI-TTLPXL,HY,0.8655,86.55,classification_report,kb9-fi-ttlpxl.ipynb,14
10,FI-TTLPXL,IG,0.9604,96.04,classification_report,kb9-fi-ttlpxl.ipynb,14
11,FR-TTX,Distressed,0.6857,68.57,classification_report,kb10-fr-ttx.ipynb,13
11,FR-TTX,HY,0.8598,85.98,classification_report,kb10-fr-ttx.ipynb,13
11,FR-TTX,IG,0.9644,96.44,classification_report,kb10-fr-ttx.ipynb,13
12,FR-PLL,Distressed,0.6744,67.44,classification_report,kb11-fr-pll.ipynb,13
12,FR-PLL,HY,0.8679,86.79,classification_report,kb11-fr-pll.ipynb,13
12,FR-PLL,IG,0.9635,96.35,classification_report,kb11-fr-pll.ipynb,13
13,FR-TTLPXL,Distressed,0.7073,70.73,classification_report,kb12-fr-ttlpxl.ipynb,13
13,FR-TTLPXL,HY,0.8667,86.67,classification_report,kb12-fr-ttlpxl.ipynb,13
13,FR-TTLPXL,IG,0.9635,96.35,classification_report,kb12-fr-ttlpxl.ipynb,13
14,DMF-LG,Distressed,0.6000,60.00,user_provided,,
14,DMF-LG,HY,0.8593,85.93,user_provided,,
14,DMF-LG,IG,0.9609,96.09,user_provided,,
15,DMF-LT,Distressed,0.6957,69.57,user_provided,,
15,DMF-LT,HY,0.8629,86.29,user_provided,,
15,DMF-LT,IG,0.9612,96.12,user_provided,,
16,DMF-TG,Distressed,0.7241,72.41,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
16,DMF-TG,HY,0.8778,87.78,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
16,DMF-TG,IG,0.9623,96.23,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
17,DMF-LTG,Distressed,0.6957,69.57,user_provided,,
17,DMF-LTG,HY,0.8629,86.29,user_provided,,
17,DMF-LTG,IG,0.9612,96.12,user_provided,,
