scenario_order,scenario,class_name,recall,recall_percent,source,notebook,cell
1,LightGBM,Distressed,0.5085,50.85,classification_report,lightgbm-baseline.ipynb,12
1,LightGBM,HY,0.8962,89.62,classification_report,lightgbm-baseline.ipynb,12
1,LightGBM,IG,0.9538,95.38,classification_report,lightgbm-baseline.ipynb,12
2,XGBoost,Distressed,0.4915,49.15,classification_report,xgboost-baseline.ipynb,12
2,XGBoost,HY,0.8998,89.98,classification_report,xgboost-baseline.ipynb,12
2,XGBoost,IG,0.9538,95.38,classification_report,xgboost-baseline.ipynb,12
3,TCN,Distressed,0.4407,44.07,classification_report,tcn-baseline.ipynb,7
3,TCN,HY,0.8998,89.98,classification_report,tcn-baseline.ipynb,7
3,TCN,IG,0.9548,95.48,classification_report,tcn-baseline.ipynb,7
4,LSTM,Distressed,0.4576,45.76,classification_report,lstm-baseline.ipynb,9
4,LSTM,HY,0.9034,90.34,classification_report,lstm-baseline.ipynb,9
4,LSTM,IG,0.9566,95.66,classification_report,lstm-baseline.ipynb,9
5,PatchTST,Distressed,0.2034,20.34,classification_report,patchtst-baseline.ipynb,14
5,PatchTST,HY,0.9106,91.06,classification_report,patchtst-baseline.ipynb,14
5,PatchTST,IG,0.9529,95.29,classification_report,patchtst-baseline.ipynb,14
6,T-LSTM,Distressed,0.3559,35.59,classification_report,transformer-lstm.ipynb,34
6,T-LSTM,HY,0.9034,90.34,classification_report,transformer-lstm.ipynb,34
6,T-LSTM,IG,0.9665,96.65,classification_report,transformer-lstm.ipynb,34
7,GraphSAGE,Distressed,0.6271,62.71,classification_report,GraphSAGE-baseline.ipynb,9
7,GraphSAGE,HY,0.8891,88.91,classification_report,GraphSAGE-baseline.ipynb,9
7,GraphSAGE,IG,0.9566,95.66,classification_report,GraphSAGE-baseline.ipynb,9
8,FI-TTX,Distressed,0.3729,37.29,classification_report,kb7-fi-ttx.ipynb,14
8,FI-TTX,HY,0.9052,90.52,classification_report,kb7-fi-ttx.ipynb,14
8,FI-TTX,IG,0.9647,96.47,classification_report,kb7-fi-ttx.ipynb,14
9,FI-PLL,Distressed,0.4915,49.15,classification_report,kb8-fi-pll.ipynb,14
9,FI-PLL,HY,0.9034,90.34,classification_report,kb8-fi-pll.ipynb,14
9,FI-PLL,IG,0.9566,95.66,classification_report,kb8-fi-pll.ipynb,14
10,FI-TTLPXL,Distressed,0.339,33.9,classification_report,kb9-fi-ttlpxl.ipynb,14
10,FI-TTLPXL,HY,0.898,89.8,classification_report,kb9-fi-ttlpxl.ipynb,14
10,FI-TTLPXL,IG,0.9647,96.47,classification_report,kb9-fi-ttlpxl.ipynb,14
11,FR-TTX,Distressed,0.4068,40.68,classification_report,kb10-fr-ttx.ipynb,13
11,FR-TTX,HY,0.9106,91.06,classification_report,kb10-fr-ttx.ipynb,13
11,FR-TTX,IG,0.9566,95.66,classification_report,kb10-fr-ttx.ipynb,13
12,FR-PLL,Distressed,0.4915,49.15,classification_report,kb11-fr-pll.ipynb,13
12,FR-PLL,HY,0.9052,90.52,classification_report,kb11-fr-pll.ipynb,13
12,FR-PLL,IG,0.9566,95.66,classification_report,kb11-fr-pll.ipynb,13
13,FR-TTLPXL,Distressed,0.4915,49.15,classification_report,kb12-fr-ttlpxl.ipynb,13
13,FR-TTLPXL,HY,0.907,90.7,classification_report,kb12-fr-ttlpxl.ipynb,13
13,FR-TTLPXL,IG,0.9566,95.66,classification_report,kb12-fr-ttlpxl.ipynb,13
14,DMF-LG,Distressed,0.4068,40.68,user_provided,,
14,DMF-LG,HY,0.8962,89.62,user_provided,,
14,DMF-LG,IG,0.9566,95.66,user_provided,,
15,DMF-LT,Distressed,0.2712,27.12,user_provided,,
15,DMF-LT,HY,0.9123,91.23,user_provided,,
15,DMF-LT,IG,0.9647,96.47,user_provided,,
16,DMF-TG,Distressed,0.3559,35.59,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
16,DMF-TG,HY,0.9123,91.23,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
16,DMF-TG,IG,0.9692,96.92,classification_report_renamed_from_DMF,dynamic-model-fusion.ipynb,16
17,DMF-LTG,Distressed,0.2712,27.12,user_provided,,
17,DMF-LTG,HY,0.9123,91.23,user_provided,,
17,DMF-LTG,IG,0.9647,96.47,user_provided,,
