class0_threshold,Accuracy,Macro_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_F2
0.05,0.8283062645011601,0.6575302968210291,0.19130434782608696,0.7333333333333333,0.30344827586206896,0.4680851063829787
0.06,0.8352668213457076,0.6642752046102443,0.19811320754716982,0.7,0.3088235294117647,0.4646017699115044
0.09,0.8607888631090487,0.6909268589450811,0.23376623376623376,0.6,0.3364485981308411,0.4568527918781725
0.17,0.8863109048723898,0.7254698862778102,0.32608695652173914,0.5,0.39473684210526316,0.45180722891566266
0.16,0.8851508120649652,0.723070324749521,0.3191489361702128,0.5,0.38961038961038963,0.4491017964071856
0.07,0.8433874709976799,0.6689096935980613,0.20212765957446807,0.6333333333333333,0.3064516129032258,0.44392523364485975
0.15,0.882830626450116,0.7173036373220875,0.3,0.5,0.375,0.4411764705882353
0.08,0.8526682134570766,0.6786640249832555,0.21428571428571427,0.6,0.3157894736842105,0.4411764705882353
0.1,0.8631090487238979,0.6905775533863165,0.2328767123287671,0.5666666666666667,0.3300970873786408,0.4404145077720207
0.14,0.8816705336426914,0.7150619011656226,0.29411764705882354,0.5,0.37037037037037035,0.4385964912280702
0.11,0.8689095127610209,0.6962837711428781,0.24615384615384617,0.5333333333333333,0.3368421052631579,0.43243243243243246
0.13,0.8781902552204176,0.7085420751432592,0.2777777777777778,0.5,0.35714285714285715,0.43103448275862066
