Ngày,Tên tổ chức,URL trang,Ngành,Loại xếp hạng,Phân loại,Mức xếp hạng,Triển vọng,ISIN,PDF_VI,PDF_EN
26/01/2026,Công ty Cổ phần Chứng khoán DSC,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-dsc-id2648.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/26-01-2026/VN_FiinRatings_DSC_PA_Issuer_Initial_01_2026.pdf,https://cms.fiinratings.vn/UploadFile/26-01-2026/EN_FiinRatings_DSC_PA_Issuer_Initial_01_2026.pdf
21/01/2026,Công ty Cổ Phần Nhựa Hoa Sen,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nhua-hoa-sen-id1057.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/21-01-2026/VI_FiinRatings_HSN_Issuer_Rating_Release_Jan2026_signed.pdf,
20/01/2026,Công ty Cổ phần Xây dựng và Năng lượng VCP,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-va-nang-luong-vcp-id3865.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,A-,,VCP12501,https://cms.fiinratings.vn/UploadFile/21-01-2026/VI_FiinRatings_VCP_Bond_Rating_Report_Jan2026_signed.pdf,
10/01/2026,Công ty Cổ phần Vinhomes,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-vinhoaes-id3439.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,A,,VHM12503,https://cms.fiinratings.vn/UploadFile/01-10-2026/VI_FiinRatings_VHM_Bond_Rating_Release_Jan2026_signed.pdf,
31/12/2025,Công ty Cổ phần Chứng khoán Kỹ Thương,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-ky-thuong-id3843.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,https://cms.fiinratings.vn/UploadFile/31-12-2025/%5BVN%5D_FiinRatings_TCBS_Surv01_Issuer_2025.12.31_Final_scan_(1).pdf,
30/12/2025,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-co-phan-daa-tu-phat-trien-xay-dung-id2623.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/30-12-2025/DIC_Scan_1.pdf,
25/12/2025,Công ty Cổ Phần Aikya,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-aikya-id6163.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,https://cms.fiinratings.vn/UploadFile/25-12-2025/%5BVN%5D_FiinRatings_Aikya_Initial_Issuer_Credit_Rating_PA.pdf,
20/12/2025,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-da-lich-phu-qaoc-id5232.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB-,Ổn định,,https://cms.fiinratings.vn/UploadFile/20-12-2025/%5BVN%5DFiinRatings_Bao_cao_cap_nhat_XHTN_DLPQ_122025.pdf,
18/12/2025,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-hang-hai-viet-naa-id3375.html,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,
15/12/2025,Công ty Cổ phần Xây dựng và Năng lượng VCP,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-va-nang-luong-vcp-id3865.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,https://cms.fiinratings.vn/UploadFile/15-12-2025/VI_FiinRatings_VCP_Issuer_Rating_Release_Dec2025_signed_1.pdf,
14/12/2025,Công ty Cổ phần Xây dựng Coteccons,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/14-12-2025/%5BVI%5D_FiinRatings_Surveillance_ICR_CTD_Dec2025_1.pdf,https://cms.fiinratings.vn/UploadFile/14-12-2025/%5BEN%5D_FiinRatings_Surveillance_ICR_CTD_Dec2025.pdf
11/12/2025,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ngoại-thuong-viet-naa-id4143.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,AAA,Ổn định,,https://cms.fiinratings.vn/UploadFile/11-12-2025/VN_FiinRatingsxVCB_PA_Issuer_Initial_2025.12.11_Final_scan.pdf,
11/12/2025,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ngoại-thuong-viet-naa-id4143.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Công cụ nợ,AAA,,VCB12501,https://cms.fiinratings.vn/UploadFile/11-12-2025/VN_FiinRatingsxVCB_PA_Bond_VCB12501_Initial_2025.12.11_Final_scan.pdf,
08/12/2025,Công ty Cổ phần Chứng khoán Quốc Gia,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-qaoc-gia-id3518.html,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,https://cms.fiinratings.vn/UploadFile/08-12-2025/VN_FiinRatings_NSI_PA_Issuer_Initial_122025_scan_(1).pdf,https://cms.fiinratings.vn/UploadFile/08-12-2025/EN_FiinRatings_NSI_PA_Issuer_Initial_sent_to_client_FINAL.pdf
08/12/2025,Công ty Cổ phần Năng lượng Tái tạo Trung Nam,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nang-luong-tai-tạo-trang-naa-id12684.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,CCC,Không thuận lợi,,https://cms.fiinratings.vn/UploadFile/08-12-2025/VN_FiinRatings_TNRE_ShortReport_Dec2025.pdf,
05/12/2025,Công ty Cổ phần Vinhomes,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-vinhoaes-id3439.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,https://cms.fiinratings.vn/UploadFile/05-12-2025/VI_FiinRatings_VHM_Rating-Release_Initial_Dec2025.pdf,
05/12/2025,Công Ty Cổ Phần Tập Đoàn Nhựa Bình Thuận,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-nhua-binh-thaan-id556880.html,Doanh nghiệp phi tài chính,XHTN Lần đầu,XHTN Công cụ nợ,AAA,,BP112501,https://cms.fiinratings.vn/UploadFile/12-05-2025/VI_FiinRatings_BPG_Bond_Rating_Report_Dec2025_(2).pdf,https://cms.fiinratings.vn/UploadFile/12-05-2025/EN_FiinRatings_BPG_Bond_Rating_Report_Dec2025_(2).pdf
04/12/2025,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,Doanh nghiệp phi tài chính,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,,HBXCH2444001,https://cms.fiinratings.vn/UploadFile/04-12-2025/VI_FiinRatings_HBXM_Update-Bond-Rating_122025_signed_1.pdf,
