ticker,rating_date,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,company_name,rating_agency,sector,source,rating_detail,delta_days
ACCO,2015-10-30,0.18889754619353039,0.7975305496548147,-0.4779111700309387,-0.07632100296344015,-0.2128282580335661,-0.034501843046126246,-0.06931717833427228,0.05110768521573715,0.03746682088438732,-0.033074256680177,0.6209285247881837,0.271592395363165,Acco Brands Corporation,1,2,1,1,1.3496005676917524
HRL,2013-06-18,1.1047323605103196,-0.7001113203770575,-1.1034078886123009,-0.18265367963318888,-0.1388045298077604,0.0004608471075801868,-0.038987481238476104,1.6028319149176318,0.11065906411162553,1.00654989962296,-0.2674835063231705,-0.14542571272567378,HORMEL FOODS CORPORATION,1,3,2,2,0.5222514748550601
MHO,2012-06-15,3.186361567741174,0.16525832330479204,-1.0489660629456365,-1.1104762269955597,-1.0986980350871562,-1.0839353068115791,-1.0075139469859165,0.19910981402728595,-0.7644981210606446,-1.5909468153555302,-0.1460573487605487,-0.07754467838461877,"M/I Homes, Inc.",5,8,2,0,-0.9166775647459204
PXD,2012-06-22,-0.10228505465556116,-0.17553166459539113,1.6624136983248614,1.927576371433153,1.937256361362717,1.4510591698677684,1.3077305559918744,-1.144013868420201,-0.0255634599210116,0.10977245103296707,1.6648128757782026,0.5821810018276818,Pioneer Natural Resources Co.,2,5,2,1,-2.884798777797107
BAX,2013-11-19,0.13102659021654317,-0.06120998717174645,0.29093108548142804,0.6064889397409762,0.6170813260736934,0.7122627432028349,0.701540757153507,-0.03561455856768745,0.469243678414406,1.1216981644508017,-0.45758466316216717,-0.20422030939902852,BAXTER INTERNATIONAL INC,1,7,2,2,0.25763635482751684
NRG,2014-03-28,0.15682072658517554,0.4407335509147627,-0.6253784586615408,-0.6320425661741709,-0.620594799899082,-1.0578531902600832,-0.8113138004270016,-0.915125176806591,-0.39152302089123053,-0.9293138047193517,-1.0107731533208066,2.0063936435975336,"NRG ENERGY, INC.",1,9,2,1,0.0899526028985374
AMCR,2013-03-17,0.6649849178600509,0.018220723656370157,-1.0065116134584686,-0.36372941012973653,-0.35246695177040005,-0.27274465811264365,-0.22217074488605526,0.6162083151475358,-0.09744022452402323,-0.16876323376345326,-0.3176694448675964,-0.14158991550955116,Amcor Ltd.,6,1,2,2,-0.44677081737691493
NWN,2010-06-16,-1.01961584214682,0.18483433968174148,-0.15585606866032536,0.25017295456646144,0.2610114271274329,0.1889961299360684,0.0650611899635001,-0.6964363877112832,-0.0429143283550171,-0.23804200842494724,1.9860153322154526,1.1013341463573252,Northwest Natural Gas Co.,6,9,2,2,0.18296942149362969
SJR,2010-11-16,-1.428628172652498,0.37072652093266995,2.280770931069346,1.1142572858380702,1.12449898681757,0.6714482115350571,0.5809853817920638,-0.8325386641096562,0.22229291536622736,0.24897222110721795,0.0641846816142805,-0.04811593908715353,Shaw Communications Inc.,6,9,2,2,0.18296942149362969
MHO,2011-09-12,3.4845256287820976,0.047944995263440496,-1.069153628084566,-0.9781945187845869,-0.9665076859731511,-0.9754679463912715,-0.8722161690921237,0.3402421995227812,-0.6118303408330622,-1.409492590966583,-2.2928279158104834,-2.162709197837499,"M/I Homes, Inc.",6,8,2,0,-0.779564534213635
