rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
2,Total S.A.,TOT,DBRS,2005-08-16,Energy,corporate_rating,0.882592183,1.929669427,1.0,0.189980264,0.189980264,0.189980264,0.094578284,1.533434213,0.158743412,0.145029576,18.74015583,14.87570901
1,United States Steel Corporation,X,Standard & Poor's Ratings Services,2009-04-28,Basic Industries,corporate_rating,2.063354932,2.252911134,0.122095611,0.136606427,0.133846702,0.133846702,0.094008724,1.396531361,0.431460674,0.131286132,6.293485944,6.293485944
2,Southern Copper Corp.,SCCO,Standard & Poor's Ratings Services,2010-04-06,Miscellaneous,credit_rating_financial,2.9659,0.3288,0.500351,0.397707,0.397707,0.376092,0.248878,0.6164,0.240025,0.154266,1.1322,0.6584
2,Compass Group PLC,COMP,Standard & Poor's Ratings Services,2010-05-28,Technology,credit_rating_financial,1.0668,0.89,0.646665,0.372524,0.372524,0.231982,0.159279,0.3886,0.212038,0.065242,1.2684,0.9432
1,Fresh Del Monte Produce Inc.,FDP,Standard & Poor's Ratings Services,2010-06-01,Consumer Non-Durables,credit_rating_financial,2.543,0.1918,0.088891,0.042386,0.042386,0.037696,0.041157,1.3468,0.0853,0.055701,4.0444,2.9936
2,Northwest Natural Gas Co.,NWN,Standard & Poor's Ratings Services,2010-06-16,Public Utilities,credit_rating_financial,0.8361,1.1191,0.396503,0.156724,0.156724,0.120264,0.074179,0.4221,0.113803,0.031311,9.0433,3.9589
1,Universal Health Services Inc.,UHS,Standard & Poor's Ratings Services,2010-06-25,Health Care,credit_rating_financial,1.3661,0.535,0.865591,0.100057,0.100057,0.091251,0.049829,1.3123,0.169743,0.076744,5.5076,1.6435
2,California Water Service Co.,CWT,Standard & Poor's Ratings Services,2010-06-29,Public Utilities,credit_rating_financial,0.8358,0.9491,0.645096,0.184549,0.184549,0.151135,0.090246,0.2946,0.096412,0.026583,1.7438,-0.8999
2,Cardinal Health Inc.,CAH,Standard & Poor's Ratings Services,2010-07-14,Consumer Services,credit_rating_financial,1.2931,0.4036,0.038385,0.013269,0.013269,0.012304,0.006518,3.5128,0.111256,0.029364,1.9725,2.4174
2,Kennametal Inc.,KMT,Standard & Poor's Ratings Services,2010-07-15,Capital Goods,credit_rating_financial,2.3306,0.2532,0.333177,0.049482,0.049482,0.040658,0.024638,0.8308,0.037216,0.021882,-0.6116,0.1514
2,American States Water Co.,AWR,Standard & Poor's Ratings Services,2010-07-30,Public Utilities,credit_rating_financial,1.1507,0.8847,0.77623,0.194839,0.194839,0.136093,0.083224,0.3173,0.081724,0.026385,1.9957,-0.1333
0,Tenet Healthcare Corporation,THC,Standard & Poor's Ratings Services,2010-08-03,Health Care,corporate_rating,1.339710145,3.813137033,1.0,0.068875611,0.017164584,0.017164584,0.121564367,1.082941176,0.633635334,0.131647059,0.974560261,0.974560261
2,Magellan Midstream Partners L.P.,MMP,Standard & Poor's Ratings Services,2010-08-31,Energy,corporate_rating,1.398244664,1.529921998,1.0,0.200938459,0.200058172,0.200058172,0.200058172,0.418905027,0.212021059,0.083805374,3.878668311,-2.022368361
2,Vector Ltd.,VGR,Standard & Poor's Ratings Services,2010-09-03,Finance,credit_rating_financial,2.612,-15.6497,0.279613,0.178625,0.178625,0.035605,0.03095,1.0897,-1.868179,0.033725,0.05,0.016
2,Teck Resources Ltd.,TECK,Standard & Poor's Ratings Services,2010-09-08,Miscellaneous,credit_rating_financial,1.5491,0.5489,0.477195,0.325518,0.325518,0.344019,0.238597,0.2569,0.067165,0.032783,4.4575,3.5759
2,National Grid Gas PLC,NGG,Standard & Poor's Ratings Services,2010-09-14,Public Utilities,credit_rating_financial,0.7722,5.9833,0.235097,0.235097,0.235097,0.156564,0.099165,0.3216,0.312247,0.030104,13.2046,5.0787
2,Entergy Corp,ETR,Standard & Poor's Ratings Services,2010-09-15,Public Utilities,credit_rating_financial,1.4196,1.3798,0.655206,0.2126,0.2126,0.175307,0.114567,0.2861,0.145245,0.033306,14.9775,5.116
2,Automatic Data Processing Inc.,ADP,Standard & Poor's Ratings Services,2010-09-16,Technology,credit_rating_financial,1.1129,0.0073,0.436619,0.198327,0.198327,0.208699,0.13569,0.3324,0.220354,0.044944,0.2501,0.3132
2,Cardinal Health Inc.,CAH,Standard & Poor's Ratings Services,2010-09-16,Consumer Services,credit_rating_financial,1.2931,0.4036,0.038385,0.013269,0.013269,0.012304,0.006518,3.5128,0.111256,0.029364,1.9725,2.4174
2,Entergy Corp,ETR,Standard & Poor's Ratings Services,2010-09-28,Public Utilities,credit_rating_financial,1.4196,1.3798,0.655206,0.2126,0.2126,0.175307,0.114567,0.2861,0.145245,0.033306,14.9775,5.116
2,Pitney Bowes Inc.,PBI,Standard & Poor's Ratings Services,2010-09-30,Miscellaneous,corporate_rating,1.178048927,-15.6497,0.506323022,0.098534926,0.098534926,0.098534926,0.053892223,0.642496355,-1.868179,0.034625557,4.622616135,4.041127748
2,Diageo PLC,DEO,Standard & Poor's Ratings Services,2010-10-01,Consumer Non-Durables,credit_rating_financial,1.7627,1.8312,0.580879,0.263191,0.263191,0.228936,0.17822,0.5027,0.370226,0.091082,1.5979,1.8099
2,Newmont USA Ltd.,NEM,Standard & Poor's Ratings Services,2010-10-15,Miscellaneous,credit_rating_financial,2.5095,0.3813,0.609604,0.387541,0.387541,0.383387,0.168332,0.3455,0.167208,0.094578,6.0513,2.4189
2,FedEx Corp.,FDX,Standard & Poor's Ratings Services,2010-10-26,Miscellaneous,credit_rating_financial,1.5681,0.1397,0.774457,0.057523,0.057523,0.054529,0.034088,1.3948,0.085729,0.047546,1.1699,-0.049
