rating_detail,rating_class,binary_rating,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps
BB,BB,0,Alcoa Corporation,AA,Egan-Jones Ratings Company,10/14/2015,Basic Industries,corporate_rating,1.067387687,0.518957848,0.192874364,-0.005982677,-0.017055094,-0.04116439,-0.077060452,0.682324986,-0.091400127,-0.052580272,4.784838264,2.646699108
BB,BB,0,"American Airlines Group, Inc.",AAL,Egan-Jones Ratings Company,11/12/2013,Transportation,corporate_rating,1.037447487,-15.6497,1,0.052312755,-0.081516659,-0.081516659,-0.068578693,0.632551209,0.671548883,-0.043379535,4.139935969,-11.2802
B,B,0,"American Airlines Group, Inc.",AAL,Moody's Investors Service,6/30/2015,Transportation,corporate_rating,0.901525865,20.65809005,1,0.49549580999999976,0.49417,0.4721196172599997,0.3997656781999976,0.1407,1.426026719,0.065842681,4.292946188,-3.109598359
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,5/29/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49927999999999995,0.105933,0.105933,0.10057600000000001,0.062337,1.3449,0.32020499999999996,0.084024,-1.5016,-1.6121
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,9/25/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49927999999999995,0.105933,0.105933,0.10057600000000001,0.062337,1.3449,0.32020499999999996,0.084024,-1.5016,-1.6121
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,11/13/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49927999999999995,0.105933,0.105933,0.10057600000000001,0.062337,1.3449,0.32020499999999996,0.084024,-1.5016,-1.6121
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,2/21/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,6/18/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,9/2/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,12/18/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,2/20/2015,Consumer Services,credit_rating_financial,1.2973,0.8173,0.452425,0.086522,0.086522,0.079379,0.050008,1.2363,0.246554,0.06202,2.2303,1.5291
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,6/9/2015,Consumer Services,credit_rating_financial,1.2973,0.8173,0.452425,0.086522,0.086522,0.079379,0.050008,1.2363,0.246554,0.06202,2.2303,1.5291
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,9/24/2015,Consumer Services,credit_rating_financial,1.2973,0.8173,0.452425,0.086522,0.086522,0.079379,0.050008,1.2363,0.246554,0.06202,2.2303,1.5291
A-,A,1,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,9/30/2015,Consumer Services,credit_rating_financial,1.2973,0.8173,0.452425,0.086522,0.086522,0.079379,0.050008,1.2363,0.246554,0.06202,2.2303,1.5291
BBB-,BBB,1,"Advance Auto Parts, Inc.",AAP,Moody's Investors Service,6/15/2012,Consumer Services,credit_rating_financial,1.0484,0.4906,0.497417,0.107713,0.107713,0.10262399999999999,0.063792,1.6879,0.46547400000000005,0.107962,3.111,1.936
BBB-,BBB,1,"Advance Auto Parts, Inc.",AAP,Moody's Investors Service,11/25/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49927999999999995,0.105933,0.105933,0.10057600000000001,0.062337,1.3449,0.32020499999999996,0.084024,-1.5016,-1.6121
BBB,BBB,1,"Advance Auto Parts, Inc.",AAP,Moody's Investors Service,8/5/2015,Consumer Services,credit_rating_financial,1.2973,0.8173,0.452425,0.086522,0.086522,0.079379,0.050008,1.2363,0.246554,0.06202,2.2303,1.5291
AA+,AA,1,Apple Inc.,AAPL,Moody's Investors Service,11/4/2014,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Moody's Investors Service,2/10/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Moody's Investors Service,6/1/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Moody's Investors Service,7/24/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Moody's Investors Service,8/20/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Moody's Investors Service,9/10/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AAA,AAA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,4/24/2014,Technology,credit_rating_financial,1.6786,0.1373,0.376245,0.286695,0.286695,0.293459,0.216705,0.8257,0.299776,0.178923,0.1359,0.1363
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,5/27/2014,Technology,credit_rating_financial,1.6786,0.1373,0.376245,0.286695,0.286695,0.293459,0.216705,0.8257,0.299776,0.178923,0.1359,0.1363
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,2/18/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,5/28/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,6/2/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,8/25/2015,Technology,credit_rating_financial,1.0801,0.3164,0.38588,0.287223,0.287223,0.29258500000000004,0.216144,0.7885,0.354201,0.17042000000000002,0.381,0.3032
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,5/20/2016,Technology,credit_rating_financial,1.1088,0.539,0.400599,0.304773,0.304773,0.310271,0.228458,0.805,0.447355,0.183899,1.0688,0.9743
AA+,AA,1,Apple Inc.,AAPL,Standard & Poor's Ratings Services,6/3/2016,Technology,credit_rating_financial,1.1088,0.539,0.400599,0.304773,0.304773,0.310271,0.228458,0.805,0.447355,0.183899,1.0688,0.9743
