rating_detail,company_name,ticker,rating_agency,rating_date,sector,source,current_ratio,debt_equity_ratio,gross_profit_margin,operating_profit_margin,ebit_margin,pretax_profit_margin,net_profit_margin,asset_turnover,roe,roa,operating_cashflow_ps,free_cashflow_ps,fe_leverage_liquidity,fe_cashflow_conversion,fe_cashflow_spread_ps,fe_profitability_composite,fe_earnings_quality_gap,fe_current_ratio_sector_z,fe_current_ratio_sector_year_z,fe_debt_equity_ratio_sector_z,fe_debt_equity_ratio_sector_year_z,fe_ebit_margin_sector_z,fe_ebit_margin_sector_year_z,fe_net_profit_margin_sector_z,fe_net_profit_margin_sector_year_z,fe_roa_sector_z,fe_roa_sector_year_z,fe_roe_sector_z,fe_roe_sector_year_z,fe_operating_cashflow_ps_sector_z,fe_operating_cashflow_ps_sector_year_z,fe_free_cashflow_ps_sector_z,fe_free_cashflow_ps_sector_year_z
HY,Alcoa Corporation,AA,Egan-Jones Ratings Company,10/14/2015,Basic Industries,corporate_rating,1.067387687,0.518957848,0.192874364,-0.005982677,-0.017055094,-0.04116439,-0.077060452,0.682324986,-0.091400127,-0.052580272,4.784838264,2.646699108,0.486194336,0.553142857,2.138139156,-0.013195521,0.071077775,-1.152977344,-1.158307691,-0.383458306,-0.456398841,-1.058022052,-1.181582609,-1.356615577,-1.742365726,-1.450177349,-1.853576622,-0.691858268,-0.956634289,0.979582281,1.228167117,0.701929837,0.778331581
HY,"American Airlines Group, Inc.",AAL,Egan-Jones Ratings Company,11/12/2013,Transportation,corporate_rating,1.037447487,-15.6497,1.0,0.052312755,-0.081516659,-0.081516659,-0.068578693,0.632551209,0.671548883,-0.043379535,4.139935969,-11.2802,-8.313552712,-2.724728132,11.155502,0.206981442,0.120891448,-0.797203006,-0.997367999,-2.25902709,-1.355067837,-1.226721935,-1.360017321,-0.747150867,0.366738981,-0.281134793,0.67819123,0.241421399,-0.291263286,-0.511531768,0.572715962,-1.147875208,-0.82875235
HY,"American Airlines Group, Inc.",AAL,Moody's Investors Service,6/30/2015,Transportation,corporate_rating,0.901525865,20.65809005,1.0,0.49549581,0.49417,0.472119617,0.399765678,0.1407,1.426026719,0.065842681,4.292946188,-3.109598359,16.09358411,-0.724350649,7.402544547,0.439107571,0.095730132,-0.941824401,-0.96185736,2.978583858,2.130895139,2.338174147,1.930041666,2.155777975,1.856387423,0.684948586,0.413976184,1.132970483,0.797742893,-0.492060777,-0.645023212,-0.305386021,-0.180135965
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,5/29/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49928,0.105933,0.105933,0.100576,0.062337,1.3449,0.320205,0.084024,-1.5016,-1.6121,0.401768489,1.073588173,0.1105,0.182612571,0.043596,-0.420131612,-0.391283422,-0.069526319,0.064166348,0.375907774,0.33669416,0.225518461,0.277346978,0.520766929,0.569734081,0.61887518,0.550203966,-0.742120481,-0.695746549,-0.6768818,-0.669979642
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,9/25/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49928,0.105933,0.105933,0.100576,0.062337,1.3449,0.320205,0.084024,-1.5016,-1.6121,0.401768489,1.073588173,0.1105,0.182612571,0.043596,-0.420131612,-0.391283422,-0.069526319,0.064166348,0.375907774,0.33669416,0.225518461,0.277346978,0.520766929,0.569734081,0.61887518,0.550203966,-0.742120481,-0.695746549,-0.6768818,-0.669979642
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,11/13/2013,Consumer Services,credit_rating_financial,1.244,0.4998,0.49928,0.105933,0.105933,0.100576,0.062337,1.3449,0.320205,0.084024,-1.5016,-1.6121,0.401768489,1.073588173,0.1105,0.182612571,0.043596,-0.420131612,-0.391283422,-0.069526319,0.064166348,0.375907774,0.33669416,0.225518461,0.277346978,0.520766929,0.569734081,0.61887518,0.550203966,-0.742120481,-0.695746549,-0.6768818,-0.669979642
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,2/21/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499,0.481599556,0.355973051,-1.1758,0.169943857,0.041494,-0.201717546,-0.213834432,-0.007255689,-0.166196514,0.322022228,0.393955042,0.194539998,0.247642363,0.256969531,0.273155855,0.438578135,0.528397074,-0.831418961,-0.77294837,-0.374460247,-0.311166184
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,6/18/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499,0.481599556,0.355973051,-1.1758,0.169943857,0.041494,-0.201717546,-0.213834432,-0.007255689,-0.166196514,0.322022228,0.393955042,0.194539998,0.247642363,0.256969531,0.273155855,0.438578135,0.528397074,-0.831418961,-0.77294837,-0.374460247,-0.311166184
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,9/2/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499,0.481599556,0.355973051,-1.1758,0.169943857,0.041494,-0.201717546,-0.213834432,-0.007255689,-0.166196514,0.322022228,0.393955042,0.194539998,0.247642363,0.256969531,0.273155855,0.438578135,0.528397074,-0.831418961,-0.77294837,-0.374460247,-0.311166184
IG,"ADVANCE AUTO PARTS, INC.",AAP,Egan-Jones Ratings Company,12/18/2014,Consumer Services,credit_rating_financial,1.4429,0.6949,0.500807,0.101684,0.101684,0.096461,0.06019,1.167,0.258381,0.0704,-1.8257,-0.6499,0.481599556,0.355973051,-1.1758,0.169943857,0.041494,-0.201717546,-0.213834432,-0.007255689,-0.166196514,0.322022228,0.393955042,0.194539998,0.247642363,0.256969531,0.273155855,0.438578135,0.528397074,-0.831418961,-0.77294837,-0.374460247,-0.311166184
