class_label,class_rating,before,after,increase,increase_pct
0,D,4,468,464,11600.0
1,C,9,468,459,5100.0
2,CC,18,468,450,2500.0
3,CCC-,8,468,460,5750.0
4,CCC,77,308,231,300.0
5,CCC+,121,390,269,222.31404958677686
6,B-,230,312,82,35.65217391304348
7,B,360,360,0,0.0
8,B+,338,338,0,0.0
9,BB-,342,342,0,0.0
10,BB,546,546,0,0.0
11,BB+,436,436,0,0.0
12,BBB-,564,564,0,0.0
13,BBB,965,965,0,0.0
14,BBB+,676,676,0,0.0
15,A-,578,578,0,0.0
16,A,784,784,0,0.0
17,A+,382,382,0,0.0
18,AA-,203,312,109,53.69458128078818
19,AA,173,312,139,80.34682080924856
20,AA+,58,232,174,300.0
21,AAA,72,288,216,300.0
